SITE,MIN_01,MAX_01,MEAN_01,STD_01,MEDIAN_01,MIN_04,MAX_04,MEAN_04,STD_04,MEDIAN_04,MIN_06,MAX_06,MEAN_06,STD_06,MEDIAN_06,MIN_08,MAX_08,MEAN_08,STD_08,MEDIAN_08,MIN_11,MAX,MEAN_11,STD_11,MEDIAN_11,MIN_13,MAX_13,MEAN_13,STD_13,MEDIAN_13,MIN_16,MAX_16,MEAN_16,STD_16,MEDIAN_16,MIN_19,MAX_19,MEAN_19,STD_19,MEDIAN_19
ANGC,0,74,4.576174112,8.398929759,1,0,74,4.57846506300,8.39822672217,1,0,74,4.63573883162,8.66271155777,1,0,74,4.63917525773,8.66120236186,1,0,74,5.23024054983,8.62750348145,2,0,88,6.46735395189,11.28691320100,2,0,74,5.37227949599,9.08884549567,2,0,88,6.762886598,11.89693799,2
BCC,0,54,14.07019563,12.92221208,11,0,54,14.07364787110,12.91912020610,11,0,54,14.07364787110,12.91912020610,11,0,54,14.28193325660,13.10065162130,11,0,48,12.00575373990,11.53315983890,9,0,54,14.28193325660,13.10065162130,11,0,48,11.96087456850,11.56701938940,9,0,54,14.33026467,13.12900557,11
BFES,0,68,1.198156682,5.100591482,0,0,68,2.26382488479,7.81560120762,0,0,68,4.84216589862,11.65722895950,0,0,91,10.63709677420,19.58294087050,0,0,97,10.98041474650,19.59505565900,0,0,91,11.01728110600,19.65083284030,0,0,97,10.91013824880,19.71569209350,0,0,91,11.45852535,20.05986165,0
BHNP,0,100,12.34663626,18.06496015,4,0,100,12.87913340940,18.43448716810,4,0,100,13.25199543900,18.72221800400,4,0,100,14.41163055870,20.03037605920,5,0,100,12.29304446980,17.85918847450,4,0,100,14.46066134550,20.06232855770,5,0,100,12.68985176740,18.41370640160,4,0,100,15.7286203,21.38172931,6
CAMP,0,91,8.210767469,12.44420394,2,0,91,8.73883161512,12.91972100490,3,0,91,9.24513172967,13.82874895300,3,0,91,9.39404352806,14.11231534780,3,0,86,8.72279495991,12.70634571830,3,0,91,9.48109965636,14.18297779990,3,0,86,8.59793814433,12.88373759780,3,0,91,9.971363116,14.89975222,3
CC,1,100,44.71510297,28.49123798,40,1,100,44.76659038900,28.48465772840,40,1,100,44.98627002290,28.43708852370,41,1,100,45.14645308920,28.42234701910,41,1,100,41.08123569790,27.16710792790,36,1,100,45.54347826090,28.26555277160,42,0,100,39.85926773460,28.44545323930,35,1,100,46.27574371,28.179113,43
CCB,0,81,9.518348624,12.8021154,4,0,81,9.68004587156,13.01250866090,4,0,81,9.79472477064,13.19474178240,4,0,89,10.57454128440,14.69386202510,4,0,93,8.67316513761,13.13793495710,3,0,96,11.03669724770,15.34021016180,4,0,93,9.46903669725,14.34099643990,3,0,96,12.73165138,17.3480694,5
CCCrab,0,73,7.445205479,14.6295336,0,0,73,7.44520547945,14.62953359710,0,0,73,7.56735159817,14.60792875410,0,0,73,7.56735159817,14.60792875410,0,0,53,2.83561643836,6.12543249495,0,0,73,7.61643835616,14.72313447210,0,0,56,3.24315068493,7.55491379787,0,0,73,7.616438356,14.72313447,0
CLEV,0,100,16.93478261,20.99567577,11,0,100,17.07208237990,21.18839053290,11,0,100,18.23455377570,22.15358591660,11,0,100,18.65446224260,22.50770647570,12,0,100,14.65102974830,19.86684979830,7,0,100,19.18192219680,22.93898170000,12,0,100,15.41647597250,20.42266214280,8,0,100,21.72654462,24.10644881,15
CMAC,0,93,6.433983927,15.18617543,0,0,93,6.43513203215,15.18580236680,0,0,97,8.29506314581,16.82643104160,0,0,97,18.16188289320,22.84621814900,3,0,93,15.55912743970,20.03833023130,6,0,97,21.90011481060,23.83714142100,15,0,93,17.12973593570,21.30362053280,8,0,97,25.11595867,25.57996149,19
CN,0,60,3.077892325,7.923655141,0,0,68,5.06414662085,11.46389360440,0,0,68,6.45589919817,12.85466171250,0,0,68,6.54410080183,12.97078186800,0,0,75,5.74226804124,11.00062532370,0,0,68,6.81786941581,13.36662687080,0,0,75,5.44329896907,11.15728658190,0,0,68,7.012600229,13.69337184,0
CNC,0,100,15.98281787,21.92439216,3,0,100,16.88201603670,22.41187010740,4,0,100,18.31156930130,23.02444672070,8,0,100,18.55211912940,23.20756183250,9,0,100,16.49255441010,20.07215511030,10,0,100,18.55211912940,23.20756183250,9,0,100,15.73310423830,19.89384235570,6,0,100,19.15463918,23.43395398,10
CP,0,100,23.90160183,26.44608387,16,0,100,23.91189931350,26.43891574420,16,0,100,24.08810068650,26.51669773680,16,0,100,24.25286041190,26.64129719200,17,0,100,22.93478260870,24.33474793830,16,0,100,25.44622425630,26.70060234110,19,0,100,22.22654462240,24.52792608610,15,0,100,26.85125858,27.15951405,20
CTCC,0,52,8.17146145,9.408725246,5,0,57,8.23820483314,9.54678936141,6,0,57,8.31300345224,9.61148999901,6,0,57,8.31300345224,9.61148999901,6,0,47,7.76179516686,8.77894303068,5,0,57,8.31300345224,9.61148999901,6,0,47,7.64326812428,8.85384543363,5,0,59,8.379746835,9.76069733,6
DHGC,0,100,23.89334862,28.86815731,10,0,100,24.12155963300,28.92586051860,10,0,100,24.55504587160,29.12046629280,10,0,100,24.69495412840,29.25788644950,11,0,100,20.92660550460,25.82388533150,9,0,100,25.07110091740,29.42506404750,11,0,100,21.13073394500,25.92692395370,9,0,100,26.26720183,29.60939795,12
GB,0,60,3.78375286,10.35260109,0,0,61,3.84668192220,10.53149658600,0,0,61,3.84668192220,10.53149658600,0,0,69,3.89473684211,10.73096824120,0,0,48,3.37757437071,9.00568092113,0,0,71,4.31006864989,11.75507930510,0,0,48,3.29290617849,8.97141506957,0,0,71,4.732265446,12.62327543,0
GP,0,99,31.19362187,21.01580608,30,0,99,31.24373576310,21.01485103860,30,0,99,31.47835990890,21.20045044110,30,0,99,31.47835990890,21.20045044110,30,0,99,29.87927107060,19.40830912910,28,0,99,31.87357630980,21.37715785830,31,0,99,29.14806378130,19.87629028230,28,0,100,34.84510251,22.13622491,33
HF,0,98,5.442791762,14.22673699,0,0,98,5.44508009153,14.22618302900,0,0,98,5.44508009153,14.22618302900,0,0,98,5.45766590389,14.22622604890,0,0,100,5.42105263158,13.57785637680,0,0,98,5.45766590389,14.22622604890,0,0,100,5.22768878719,13.61717896080,0,0,98,5.726544622,14.7623293,0
HMS,0,76,7.44137931,13.4332967,0,0,76,7.45057471264,13.43162226540,0,0,76,7.48965517241,13.45932172360,0,0,76,8.70689655172,14.72195399560,0,0,68,7.50229885057,12.07874048590,0,0,76,8.95747126437,15.09149971740,0,0,68,7.10459770115,12.32367507550,0,0,78,9.808045977,16.50694537,0
HTP,0,94,14.29988597,19.72774008,5,0,94,14.52223489170,19.89432791680,5,0,94,14.86431014820,20.08201124120,6,0,94,15.56100342080,20.84809549770,6,0,96,13.31128848350,18.68816350630,5,0,94,16.31128848350,21.43516697860,6,0,96,13.50969213230,18.97622492620,5,0,94,18.16305587,22.85494597,7
JAN,0,96,22.47885714,25.66136304,14,0,96,22.61028571430,25.71461190900,14,0,96,22.67314285710,25.73137093360,14,0,96,23.25828571430,25.63866783770,15,0,96,19.31085714290,22.41819278700,12,0,96,23.70628571430,25.61984756120,16,0,96,20.38057142860,22.95691043710,14,0,97,26.46171429,27.34201304,18
JT,0,99,16.43233945,16.56278048,13,0,99,16.50458715600,16.64937878180,13,0,99,16.56077981650,16.68972032510,13,0,99,16.61811926610,16.71859076590,13,0,99,15.22018348620,15.64660340560,12,0,99,17.38990825690,16.93496163800,14,0,99,16.10665137610,16.09223277730,13,0,99,18.53784404,18.00110697,15
KR,0,70,4.66590389,10.4880036,0,0,70,4.66590389016,10.48800360440,0,0,70,4.66590389016,10.48800360440,0,0,70,4.66590389016,10.48800360440,0,0,60,3.75286041190,8.43664081812,0,0,70,5.17391304348,11.52757936690,0,0,96,3.91647597254,9.45487311218,0,0,70,5.219679634,11.59015114,0
LA,0,100,14.01947308,17.44678274,4,0,100,14.07216494850,17.47387031770,4,0,100,14.07216494850,17.47387031770,4,0,100,14.07216494850,17.47387031770,4,0,100,13.05841924400,16.37560350550,3,0,100,14.07216494850,17.47387031770,4,0,100,13.02176403210,16.39764275250,3,0,100,14.07216495,17.47387032,4
MF,0,76,14.58075601,18.16459545,6,0,76,14.79495990840,18.45760126540,6,0,79,18.01718213060,20.33755075040,9,0,79,18.16265750290,20.45241180140,9,0,81,15.90492554410,18.77353761470,8,0,79,18.88430698740,20.97512067410,9,0,83,16.61397479950,19.38944663730,8,0,79,20.3997709,21.63546471,10
MNP,0,76,7.460045662,12.6893693,0,0,76,7.52397260274,12.69327728870,0,0,76,7.63356164384,12.77543006490,0,0,95,8.49771689498,14.71327932160,0,0,88,7.94178082192,13.51449546580,0,0,95,9.32876712329,15.41271324360,1,0,88,8.67694063927,14.68145687690,0,0,95,10.83675799,17.68204906,1
MVD,0,100,15.08715596,22.3416799,5,0,100,15.13417431190,22.33577430420,5,0,100,15.39105504590,22.47510473460,5,0,100,15.84977064220,22.74281114250,5,0,100,14.56766055050,21.40559624230,5,0,100,16.89564220180,23.28102899970,7,0,100,15.26032110090,22.12391880710,5,0,100,18.45068807,24.36613588,8
NF,0,85,1.997706422,7.825065247,0,0,85,3.40022935780,10.09912567490,0,0,86,4.05733944954,11.47859660750,0,0,86,4.06536697248,11.47720487510,0,0,57,3.13646788991,9.09548987950,0,0,86,4.42660550459,12.13425012480,0,0,84,3.71100917431,10.47852622390,0,0,95,4.856651376,13.32562723,0
PP,0,100,26.58027523,28.15688317,17,0,100,26.89449541280,28.05540663150,18,0,100,28.43004587160,28.79820913770,20,0,100,30.19724770640,28.99098391550,24,0,100,25.40481651380,26.10902731000,18,0,100,30.95642201830,29.07228305870,25,0,100,22.86582568810,26.98226782670,12,0,100,31.81422018,29.25720141,26
RZ,0,67,5.646118721,9.645207058,0,0,67,5.66780821918,9.64438063561,0,0,67,5.78196347032,9.96302267398,0,0,67,5.79680365297,9.96408109952,0,0,57,5.59360730594,9.27788430709,0,0,67,5.79680365297,9.96408109952,0,0,46,5.04566210046,8.97448015029,0,0,86,6.083333333,10.88309173,0
SGB,0,83,16.19885057,19.5996305,6,0,85,16.24712643680,19.71695891240,6,0,85,20.04137931030,20.92906768010,15,0,85,20.45172413790,20.98969293890,17,0,76,17.49770114940,18.86758137390,12,0,85,20.51954022990,21.03038764230,17,0,76,17.56551724140,18.99363975570,12,0,87,21.03218391,21.32709406,18
