"city","median","lower","upper"
"safl",0.028798379730715,0.0257383843980681,0.0335300603648739
"slmo",0.0330516025894304,0.026927284424945,0.0433034158157018
"ioio",0.0518747761248343,0.0501866840806579,0.0528754731674331
"tawa",0.0557595871149611,0.0544409941810056,0.0572246563138941
"wide",0.0563235315198775,0.0544466078419025,0.0572694590722205
"rony",0.056401161443278,0.0501044007099233,0.0622814417348285
"ahga",0.0613342770317972,0.0547994351456486,0.0667499323906659
"mawi",0.0760991607293548,0.0666496265206601,0.0815901652370272
"baca",0.0901994573560288,0.0885204442653024,0.0932452421603501
"jams",0.107393864198007,0.10080107123294,0.111954825585051
"sewa",0.113669791667885,0.110963902799619,0.117322793532996
"mela",0.118468849859352,0.114899902908311,0.122402316772266
"inin",0.124636408655722,0.118711241583917,0.128860578414879
"phaz",0.125122210810706,0.117376668946613,0.138161433947245
"chil",0.128065792867349,0.123165550816135,0.131260684348701
"poor",0.130341971763326,0.12220850746774,0.136621279515825
"scut",0.131745247403569,0.124947770405636,0.138546519990298
"deco",0.136728768604494,0.133890607592808,0.138574497588248
"naca",0.1367319874235,0.135963338132614,0.137524773264617
"lrar",0.143813797033075,0.123601666648163,0.167160859833701
"uril",0.144303583402445,0.121685000577437,0.164210849973771
"boma",0.157577015246123,0.153886758018357,0.158173447015015
"hote",0.217721891980698,0.211050769021931,0.219308916513816
