"city","site","variable","value","total","year"
"baca","AB","advanced college degree",828.143127418966,16411.1134969846,1
"baca","AB","college graduate",2927.80839851054,16411.1134969846,1
"baca","AB","hs diploma",3004.12998235845,16411.1134969846,1
"baca","AB","no hs diploma",6698.57978339045,16411.1134969846,1
"baca","AB","some college",2952.45220530614,16411.1134969846,1
"tawa","B-TP","advanced college degree",289.221430667553,1811.01077310074,1
"tawa","B-TP","college graduate",521.803350621423,1811.01077310074,1
"tawa","B-TP","hs diploma",381.677308090219,1811.01077310074,1
"tawa","B-TP","no hs diploma",157.604214230874,1811.01077310074,1
"tawa","B-TP","some college",460.704469490672,1811.01077310074,1
"sewa","BGP1","advanced college degree",1691.93727261734,4988.24756820531,1
"sewa","BGP1","college graduate",1933.6583340098,4988.24756820531,1
"sewa","BGP1","hs diploma",408.403724347193,4988.24756820531,1
"sewa","BGP1","no hs diploma",118.580453708599,4988.24756820531,1
"sewa","BGP1","some college",835.66778352238,4988.24756820531,1
"sewa","BRF1","advanced college degree",109.456571947391,1958.03066384073,1
"sewa","BRF1","college graduate",418.993879988254,1958.03066384073,1
"sewa","BRF1","hs diploma",564.600120250373,1958.03066384073,1
"sewa","BRF1","no hs diploma",333.059079513051,1958.03066384073,1
"sewa","BRF1","some college",531.921012141665,1958.03066384073,1
"baca","BT","advanced college degree",33.0787982355299,169.098816580029,1
"baca","BT","college graduate",67.8041855387839,169.098816580029,1
"baca","BT","hs diploma",21.5232713852514,169.098816580029,1
"baca","BT","no hs diploma",9.46788713941388,169.098816580029,1
"baca","BT","some college",37.2246742810496,169.098816580029,1
"baca","CB","advanced college degree",664.189980924181,2758.83197106467,1
"baca","CB","college graduate",1011.48845181714,2758.83197106467,1
"baca","CB","hs diploma",401.702677144922,2758.83197106467,1
"baca","CB","no hs diploma",218.275526333351,2758.83197106467,1
"baca","CB","some college",463.175334845074,2758.83197106467,1
"baca","CR","advanced college degree",273.47781614408,2087.15658217139,1
"baca","CR","college graduate",532.761140169222,2087.15658217139,1
"baca","CR","hs diploma",392.497866816804,2087.15658217139,1
"baca","CR","no hs diploma",337.112339860824,2087.15658217139,1
"baca","CR","some college",551.307419180456,2087.15658217139,1
"baca","DK","advanced college degree",16.9170656741023,340.904505250849,1
"baca","DK","college graduate",30.587421774387,340.904505250849,1
"baca","DK","hs diploma",66.6429859888878,340.904505250849,1
"baca","DK","no hs diploma",135.507404844072,340.904505250849,1
"baca","DK","some college",91.2496269694002,340.904505250849,1
"sewa","DOS1","advanced college degree",11.3753639376728,168.162396351318,1
"sewa","DOS1","college graduate",64.9642821282416,168.162396351318,1
"sewa","DOS1","hs diploma",39.7849686514652,168.162396351318,1
"sewa","DOS1","no hs diploma",6.72675196027224,168.162396351318,1
"sewa","DOS1","some college",45.3110296736666,168.162396351318,1
"sewa","DRP2","advanced college degree",1875.40007058615,7931.44295247451,1
"sewa","DRP2","college graduate",3540.92076700358,7931.44295247451,1
"sewa","DRP2","hs diploma",750.636265661029,7931.44295247451,1
"sewa","DRP2","no hs diploma",274.825575163594,7931.44295247451,1
"sewa","DRP2","some college",1489.66027406016,7931.44295247451,1
"sewa","DSP1","advanced college degree",363.091422446679,2249.15378377521,1
"sewa","DSP1","college graduate",941.652177920067,2249.15378377521,1
"sewa","DSP1","hs diploma",296.545031783229,2249.15378377521,1
"sewa","DSP1","no hs diploma",106.630122463757,2249.15378377521,1
"sewa","DSP1","some college",541.235029161478,2249.15378377521,1
"sewa","DWP1","advanced college degree",35.1034823527157,1586.5085599197,1
"sewa","DWP1","college graduate",185.459802435792,1586.5085599197,1
"sewa","DWP1","hs diploma",502.129641693078,1586.5085599197,1
"sewa","DWP1","no hs diploma",558.649956084238,1586.5085599197,1
"sewa","DWP1","some college",305.165677353879,1586.5085599197,1
"baca","DY","advanced college degree",810.576758281824,4670.25203910121,1
"baca","DY","college graduate",1379.37410923618,4670.25203910121,1
