"city","site","variable","value","year"
"baca","AB","Total",9321.96270018594,1
"tawa","B-TP","Total",1177.49742717845,1
"sewa","BGP1","Total",3062.53311572859,1
"sewa","BRF1","Total",1268.10647500771,1
"baca","BT","Total",86.8575733224491,1
"baca","CB","Total",1517.80499982804,1
"baca","CR","Total",1181.79334049649,1
"baca","DK","Total",173.613522473615,1
"sewa","DOS1","Total",93.5573786361418,1
"sewa","DRP2","Total",5367.41982225717,1
"sewa","DSP1","Total",1384.65449927629,1
"sewa","DWP1","Total",940.735433220713,1
"baca","DY","Total",2664.58112994005,1
"baca","EN","Total",173.613522473641,1
"sewa","FGL1","Total",1108.82070062082,1
"sewa","FRD1","Total",200.992296914492,1
"tawa","G-CBP1","Total",2097.8675018578,1
"tawa","G-CLP2","Total",2212.42349907792,1
"tawa","G-FP1","Total",2821.45876890542,1
"tawa","G-IP","Total",1648.71797361569,1
"tawa","G-JP","Total",2833.54769485973,1
"tawa","G-KP","Total",2521.9827969395,1
"tawa","G-OTP","Total",2195.71679844796,1
"tawa","G-SB","Total",729.69771013541,1
"tawa","G-SERA","Total",1348.99502091277,1
"tawa","G-SP","Total",1539.84274162772,1
"tawa","G-TNC2","Total",2133.25763224388,1
"tawa","G-VP","Total",1937.86344165669,1
"tawa","G-WLP2","Total",2387.69761186972,1
"tawa","G-WP2","Total",2004.71911696503,1
"baca","GT","Total",392.831602889404,1
"baca","H18","Total",530.694245888802,1
"baca","HBT","Total",334.111256649482,1
"sewa","HCN1","Total",1092.34379815821,1
"sewa","HFW1","Total",2851.86030174162,1
"baca","HT","Total",219.390354048111,1
"sewa","IRP1","Total",2386.57795049168,1
"sewa","JBP1","Total",1723.46368400618,1
"sewa","LTP1","Total",2792.81775667556,1
"sewa","LWP2","Total",3973.61101647501,1
"baca","MA","Total",313.027613343944,1
"sewa","MBC1","Total",398.829612625993,1
"sewa","MGP1","Total",592.134790145228,1
"sewa","MPO1","Total",592.158390386251,1
"sewa","MSR1","Total",2138.30541367297,1
"baca","MT","Total",221.314903624096,1
"sewa","MWP1","Total",1457.80769054136,1
"baca","MY","Total",6932.33848901767,1
"sewa","NRP1","Total",1989.14639869766,1
"tawa","P-BLP","Total",1334.93423100455,1
"tawa","P-CCP","Total",1136.76480748376,1
"tawa","P-CUP","Total",2388.81903355241,1
"tawa","P-DPV","Total",340.489840940105,1
"tawa","P-GP","Total",3262.27046845734,1
"tawa","P-GW1","Total",81.0143686741457,1
"tawa","P-JCP","Total",2519.4698989288,1
"tawa","P-LCC","Total",935.872751875385,1
"tawa","P-MCP","Total",4436.38846419924,1
"tawa","P-MKP2","Total",1399.67025504116,1
"tawa","P-OB","Total",399.37039128639,1
"tawa","P-OLT","Total",13.8391434152908,1
"tawa","P-OV2","Total",18.6232674097468,1
"tawa","P-PCNA1","Total",2294.28493997001,1
"tawa","P-PDP","Total",394.106199134765,1
"tawa","P-RP","Total",755.026611402807,1
"tawa","P-RT","Total",1469.92941081164,1
"tawa","P-RWSR","Total",16.1599022581356,1
"tawa","P-SCP1","Total",1106.57960403001,1
"tawa","P-STP","Total",1554.51327858628,1
"tawa","P-TE1","Total",26.0647264925248,1
"tawa","P-UCC","Total",500.383603954517,1
"tawa","P-UWT","Total",1830.14847387231,1
"tawa","P-WBC","Total",1118.29061775891,1
"tawa","P-WP","Total",5666.1750056946,1
"tawa","P-WWP","Total",1375.16826702301,1
"baca","PER","Total",418.775780920148,1
"sewa","PGP2","Total",1207.73721497906,1
"sewa","PHY1","Total",5269.03605326834,1
"poor","POOR-E01-OB1","Total",2541.32932066463,1
"poor","POOR-E02-OB2","Total",1545.78478633864,1
"poor","POOR-E03-JCP","Total",2437.92759914489,1
"poor","POOR-E04-TJP","Total",2720.65666658994,1
"poor","POOR-E06-BEL","Total",2950.46600403142,1
"poor","POOR-E08-WFP","Total",2656.47317189833,1
"poor","POOR-E11-BTP","Total",1754.87805852837,1
"poor","POOR-E12-128","Total",1666.64569020478,1
"poor","POOR-E13-PB1","Total",960.428690611448,1
"poor","POOR-E15-PB3","Total",1001.32444506052,1
"poor","POOR-E17-JBP","Total",1018.79766903442,1
"poor","POOR-E18-SW7","Total",1515.84280781058,1
"poor","POOR-E19-MAP","Total",948.616660829689,1
"poor","POOR-E20-HOR","Total",1300.8928597608,1
"poor","POOR-W01-GHP","Total",2111.92290388003,1
"poor","POOR-W02-MNP","Total",1836.25504522997,1
"poor","POOR-W03-CCP","Total",1888.8433072085,1
"poor","POOR-W04-WHA","Total",973.344081297997,1
"poor","POOR-W09-TBP","Total",1590.36020387158,1
"poor","POOR-W10-HRP","Total",1854.70261788649,1
"poor","POOR-W11-TWP","Total",2520.30831313899,1
"poor","POOR-W13-BLP","Total",1582.00841468693,1
"poor","POOR-W14-PSF","Total",1656.88523681724,1
"sewa","RHF1","Total",226.232762040762,1
"sewa","RVP1","Total",6531.76922907138,1
"sewa","RWP1","Total",196.472753271429,1
"baca","SFCA-001-GGP2","Total",4614.02317729511,1
"baca","SFCA-C01-BVA1","Total",17461.131491543,1
"baca","SFCA-C01-GGP3","Total",7542.91487614014,1
"baca","SFCA-C01-GGP4","Total",8771.77016695582,1
"baca","SFCA-C01-PRE1","Total",612.904165647731,1
"baca","SFCA-C01-PRE2","Total",5748.71563010217,1
"baca","SFCA-C01-USF1","Total",12464.4537368515,1
"baca","SFCA-C02-DOU1","Total",11185.8044010881,1
"baca","SFCA-C02-GLN1","Total",6365.04919037276,1
"baca","SFCA-C02-IGB1","Total",9796.71270299047,1
"baca","SFCA-C02-LGH1","Total",6643.84102995424,1
"baca","SFCA-C02-MTD1","Total",5436.68832646996,1
"baca","SFCA-C03-ALA1","Total",9504.52387004113,1
"baca","SFCA-C03-BER1","Total",9516.35974097212,1
"baca","SFCA-C03-BVH1","Total",1438.86649836263,1
"baca","SFCA-C03-JMP1","Total",5438.37395474334,1
"baca","SFCA-C03-JMP2","Total",5351.16953483914,1
"baca","SFCA-C03-JMP3","Total",4515.38426139254,1
"baca","SFCA-D01-PIO1","Total",15149.0809332218,1
"baca","SFCA-D01-POT1","Total",5697.72111162804,1
"baca","SFCA-D01-RUS1","Total",21961.2729641135,1
"baca","SFCA-O01-GGP1","Total",6655.20462095851,1
"baca","SFCA-O01-LPK1","Total",5912.05823535061,1
"baca","SFCA-O01-LPK2","Total",3655.87787261609,1
"baca","SFCA-O01-SUN1","Total",6684.77004688094,1
"baca","SFCA-O02-BRO1","Total",3687.62068537787,1
"baca","SFCA-O02-LKM1","Total",2924.69762244425,1
"baca","SFCA-O02-LKM2","Total",264.436057984688,1
"baca","SFCA-O02-PLK1","Total",5792.15981628171,1
"baca","SFCA-O02-WSN1","Total",7774.07731897445,1
"sewa","SVP1","Total",922.533642490673,1
"sewa","SWD1","Total",484.183119411587,1
"sewa","TCC1","Total",1873.42015813538,1
"sewa","TMF1","Total",43.2718875501218,1
"sewa","TMP1","Total",801.233556649659,1
"sewa","TRN1","Total",125.701138916835,1
"sewa","WCP2","Total",1941.50538189919,1
"sewa","WDG1","Total",1229.36693678924,1
"baca","WP","Total",713.693787222991,1
"mela","CalT01","Total",2798.21409703432,1
"mela","CalT02","Total",909.029558516207,1
"mela","CalT03","Total",2889.47575193799,1
"mela","ED01","Total",3736.42750988302,1
"mela","ED03","Total",3601.57737404563,1
"mela","ED04","Total",3327.48688668346,1
"mela","ED05","Total",2311.48356238667,1
"mela","ED06","Total",735.865530332417,1
"mela","ED07","Total",1811.80649098594,1
"mela","ED08","Total",2781.79633932781,1
"mela","ELMOD","Total",1806.55076602839,1
"mela","H01-AST1","Total",1737.74336070936,1
"mela","H01-BEA2","Total",518.984296535269,1
"mela","H01-BGC1","Total",1324.76500022179,1
"mela","H01-CCH1","Total",958.509968649491,1
"mela","H01-DEB1","Total",3235.25537473728,1
"mela","H01-DVG","Total",1288.19339551376,1
"mela","H01-FIR1","Total",1257.89737683939,1
"mela","H01-FLN1","Total",328.069476881586,1
"mela","H01-FRE1","Total",1287.97522054704,1
"mela","H01-GSC1","Total",1268.64196406776,1
"mela","H01-HFR1","Total",329.034172067207,1
"mela","H01-HNP1","Total",959.227179910902,1
"mela","H01-LTC1","Total",290.180066529457,1
"mela","H01-OCC1","Total",2433.26031229064,1
"mela","H01-OXY1","Total",4204.27161936643,1
"mela","H01-RHR1","Total",407.401487231977,1
"mela","H01-ROS1","Total",1014.456789994,1
"mela","H01-SPS1","Total",3699.57802114821,1
"mela","H01-TMC1","Total",701.18176072941,1
"mela","H01-WAV1","Total",701.895835077986,1
"mela","H01-WTP1","Total",338.759632177134,1
"mela","H01-WWD1","Total",873.851410558156,1
"mela","IRC01","Total",199.130943619888,1
"mela","IRC02","Total",174.941836120126,1
"mela","IRC03","Total",148.545299657797,1
"mela","IRC04","Total",83.1502511965272,1
"mela","IRC05","Total",61.4245998188248,1
"mela","IRC06","Total",56.7659544075484,1
"mela","IRC07","Total",65.0245293634087,1
"mela","OAK","Total",1421.97729910371,1
"mela","OCP02","Total",1196.23239818692,1
"mela","OCP03","Total",1060.01390250397,1
"mela","PW01","Total",1417.44917890697,1
"mela","SA","Total",832.155227929994,1
"phaz","01_T01","Total",3.34334802054931,1
"phaz","02_T02","Total",3.34334802054948,1
"phaz","03_T03","Total",3.34334802054939,1
"phaz","04_T04","Total",3.34334802054955,1
"phaz","05_T05","Total",3.34334802054922,1
"phaz","06_T06","Total",3.34334802054968,1
"phaz","07_T07","Total",3.34334802054926,1
"phaz","08_T08","Total",3.34334802054939,1
"phaz","09_T09","Total",10.0397730521019,1
"phaz","1_01_AF14","Total",3.3433480205494,1
"phaz","1_02_EME","Total",2.49949399543883,1
"phaz","1_03_EMW","Total",12.8783380484891,1
"phaz","1_04_J9","Total",6.95970679612794,1
"phaz","1_05_MCS","Total",59.2181984667392,1
"phaz","1_06_T21","Total",99.0357043326546,1
"phaz","1_07_UMP","Total",355.289316519126,1
"phaz","1_08_V9","Total",57.7016227932935,1
"phaz","1_09_W19","Total",118.94447086143,1
"phaz","1_10_GOAT","Total",5.25246014107555,1
"phaz","10_T10","Total",18.4458221303613,1
"phaz","11_T11","Total",18.2280993710053,1
"phaz","12_T12","Total",20.5989121688389,1
"phaz","13_T13","Total",11.0529649954935,1
"phaz","14_T14","Total",15.8291402368975,1
"phaz","15_T15","Total",26.1964831013419,1
"phaz","16_V01","Total",546.490395669565,1
"phaz","17_V02","Total",432.378055356935,1
"phaz","19_V04","Total",673.502904779347,1
