"city","site","variable","value","year"
"baca","AB","Median value",911620.346081703,1
"tawa","B-TP","Median value",130604.64858026,1
"sewa","BGP1","Median value",325220.837896359,1
"sewa","BRF1","Median value",85805.1138404726,1
"baca","BT","Median value",11917.1883776536,1
"baca","CB","Median value",477085.094279773,1
"baca","CR","Median value",246779.399489877,1
"baca","DK","Median value",19668.2248392846,1
"sewa","DOS1","Median value",14434.2194320978,1
"sewa","DRP2","Median value",944596.619893851,1
"sewa","DSP1","Median value",156532.448261578,1
"sewa","DWP1","Median value",106137.043013551,1
"baca","DY","Median value",577413.852371456,1
"baca","EN","Median value",19668.2248392874,1
"sewa","FGL1","Median value",86067.4507856735,1
"sewa","FRD1","Median value",34800.06015388,1
"tawa","G-CBP1","Median value",100007.844087645,1
"tawa","G-CLP2","Median value",113714.886006202,1
"tawa","G-FP1","Median value",129473.647944533,1
"tawa","G-IP","Median value",97763.1714957293,1
"tawa","G-JP","Median value",159191.448048557,1
"tawa","G-KP","Median value",203711.520742125,1
"tawa","G-OTP","Median value",100016.686882931,1
"tawa","G-SB","Median value",58194.4093083052,1
"tawa","G-SERA","Median value",77295.7076957912,1
"tawa","G-SP","Median value",69725.9525653694,1
"tawa","G-TNC2","Median value",85937.3924764219,1
"tawa","G-VP","Median value",148472.953595319,1
"tawa","G-WLP2","Median value",130399.96875485,1
"tawa","G-WP2","Median value",145523.140996528,1
"baca","GT","Median value",84136.6710521177,1
"baca","H18","Median value",144390.467352393,1
"baca","HBT","Median value",123255.089239595,1
"sewa","HCN1","Median value",89405.3622139154,1
"sewa","HFW1","Median value",335586.169309079,1
"baca","HT","Median value",39636.1262196056,1
"sewa","IRP1","Median value",441595.194858827,1
"sewa","JBP1","Median value",189836.083777472,1
"sewa","LTP1","Median value",308731.860978821,1
"sewa","LWP2","Median value",663625.927171117,1
"baca","MA","Median value",34763.3580992648,1
"sewa","MBC1","Median value",100430.580525198,1
"sewa","MGP1","Median value",187245.597460964,1
"sewa","MPO1","Median value",91018.3627764662,1
"sewa","MSR1","Median value",157321.02590376,1
"baca","MT","Median value",37036.8053643478,1
"sewa","MWP1","Median value",119721.938460591,1
"baca","MY","Median value",539714.535621966,1
"sewa","NRP1","Median value",258863.062178665,1
"tawa","P-BLP","Median value",106835.463855501,1
"tawa","P-CCP","Median value",70686.2366838773,1
"tawa","P-CUP","Median value",237237.052075377,1
"tawa","P-DPV","Median value",26561.1878107544,1
"tawa","P-GP","Median value",258263.722934489,1
"tawa","P-GW1","Median value",30987.6012737742,1
"tawa","P-JCP","Median value",170415.574509322,1
"tawa","P-LCC","Median value",69996.3725272119,1
"tawa","P-MCP","Median value",284471.212707927,1
"tawa","P-MKP2","Median value",140835.273476819,1
"tawa","P-OB","Median value",31154.3861036319,1
"tawa","P-OLT","Median value",813.141055607905,1
"tawa","P-OV2","Median value",1916.92768958768,1
"tawa","P-PCNA1","Median value",227069.426552396,1
"tawa","P-PDP","Median value",30743.7330397251,1
"tawa","P-RP","Median value",54792.2100207397,1
"tawa","P-RT","Median value",68763.5589875629,1
"tawa","P-RWSR","Median value",1276.67734214435,1
"tawa","P-SCP1","Median value",98084.7328279393,1
"tawa","P-STP","Median value",135228.633781678,1
"tawa","P-TE1","Median value",3043.91307712707,1
"tawa","P-UCC","Median value",31043.7194172833,1
"tawa","P-UWT","Median value",201735.629294039,1
"tawa","P-WBC","Median value",69294.8952527742,1
"tawa","P-WP","Median value",409641.719858786,1
"tawa","P-WWP","Median value",93953.5228534819,1
"baca","PER","Median value",46213.2959900211,1
"sewa","PGP2","Median value",115605.03638062,1
"sewa","PHY1","Median value",759773.094605791,1
"poor","POOR-E01-OB1","Median value",160239.591780434,1
"poor","POOR-E02-OB2","Median value",136989.280097391,1
"poor","POOR-E03-JCP","Median value",174371.028021003,1
"poor","POOR-E04-TJP","Median value",243331.335645527,1
"poor","POOR-E06-BEL","Median value",178344.615829796,1
"poor","POOR-E08-WFP","Median value",205581.18418372,1
"poor","POOR-E11-BTP","Median value",161690.594643773,1
"poor","POOR-E12-128","Median value",114072.675803884,1
"poor","POOR-E13-PB1","Median value",79546.358226296,1
"poor","POOR-E15-PB3","Median value",86920.0649205661,1
"poor","POOR-E17-JBP","Median value",93701.6533670591,1
"poor","POOR-E18-SW7","Median value",122158.537826141,1
"poor","POOR-E19-MAP","Median value",68863.4457621872,1
"poor","POOR-E20-HOR","Median value",89086.2875359716,1
"poor","POOR-W01-GHP","Median value",419352.949749852,1
"poor","POOR-W02-MNP","Median value",429282.404234289,1
"poor","POOR-W03-CCP","Median value",394890.360178644,1
"poor","POOR-W04-WHA","Median value",315533.064818122,1
"poor","POOR-W09-TBP","Median value",199889.566851817,1
"poor","POOR-W10-HRP","Median value",128731.437175713,1
"poor","POOR-W11-TWP","Median value",282169.610843049,1
"poor","POOR-W13-BLP","Median value",148479.316998102,1
"poor","POOR-W14-PSF","Median value",131390.945209936,1
"sewa","RHF1","Median value",39914.138122711,1
"sewa","RVP1","Median value",945082.204426233,1
"sewa","RWP1","Median value",61841.5744483867,1
"baca","SFCA-001-GGP2","Median value",776633.104304285,1
"baca","SFCA-C01-BVA1","Median value",4666205.30703752,1
"baca","SFCA-C01-GGP3","Median value",1590447.55693351,1
"baca","SFCA-C01-GGP4","Median value",2332543.6304853,1
"baca","SFCA-C01-PRE1","Median value",495877.652550079,1
"baca","SFCA-C01-PRE2","Median value",2475691.03564669,1
"baca","SFCA-C01-USF1","Median value",3629234.47399277,1
"baca","SFCA-C02-DOU1","Median value",3504935.78261312,1
"baca","SFCA-C02-GLN1","Median value",1351581.79238127,1
"baca","SFCA-C02-IGB1","Median value",2324240.23661266,1
"baca","SFCA-C02-LGH1","Median value",1907700.25807675,1
"baca","SFCA-C02-MTD1","Median value",1628559.75150347,1
"baca","SFCA-C03-ALA1","Median value",2130466.3543754,1
"baca","SFCA-C03-BER1","Median value",2351710.78362965,1
"baca","SFCA-C03-BVH1","Median value",495318.596626191,1
"baca","SFCA-C03-JMP1","Median value",1441659.57725308,1
"baca","SFCA-C03-JMP2","Median value",1664816.6445162,1
"baca","SFCA-C03-JMP3","Median value",1355190.49913023,1
"baca","SFCA-D01-PIO1","Median value",3636384.30034375,1
"baca","SFCA-D01-POT1","Median value",2243992.97918154,1
"baca","SFCA-D01-RUS1","Median value",5475465.52851688,1
"baca","SFCA-O01-GGP1","Median value",1295846.09352084,1
"baca","SFCA-O01-LPK1","Median value",1951141.8735288,1
"baca","SFCA-O01-LPK2","Median value",821051.444732985,1
"baca","SFCA-O01-SUN1","Median value",1043191.65389411,1
"baca","SFCA-O02-BRO1","Median value",519839.305430098,1
"baca","SFCA-O02-LKM1","Median value",675752.04998912,1
"baca","SFCA-O02-LKM2","Median value",152505.141201369,1
"baca","SFCA-O02-PLK1","Median value",1113341.36002822,1
"baca","SFCA-O02-WSN1","Median value",1086915.45864402,1
"sewa","SVP1","Median value",149935.841275332,1
"sewa","SWD1","Median value",158773.491397231,1
"sewa","TCC1","Median value",199394.342900622,1
"sewa","TMF1","Median value",7109.13660582808,1
"sewa","TMP1","Median value",86085.9382508204,1
"sewa","TRN1","Median value",30352.2262262602,1
"sewa","WCP2","Median value",152417.195186807,1
"sewa","WDG1","Median value",121137.425892818,1
"baca","WP","Median value",176561.449089057,1
"mela","CalT01","Median value",428720.248779478,1
"mela","CalT02","Median value",112025.593325658,1
"mela","CalT03","Median value",310120.025355496,1
"mela","ED01","Median value",463593.548687574,1
"mela","ED03","Median value",474394.832586147,1
