"city","site","variable","value","total","year"
"baca","AB","affluent",1445.02733559876,5808.15542445344,1
"baca","AB","middle class",1281.79555613801,5808.15542445344,1
"baca","AB","poor",1724.34898292674,5808.15542445344,1
"baca","AB","working class",1356.98354978992,5808.15542445344,1
"tawa","B-TP","affluent",345.906163925603,615.638366603928,1
"tawa","B-TP","middle class",144.355775083304,615.638366603928,1
"tawa","B-TP","poor",51.6530289891499,615.638366603928,1
"tawa","B-TP","working class",73.7233986058714,615.638366603928,1
"sewa","BGP1","affluent",1140.18128394623,1752.91201099038,1
"sewa","BGP1","middle class",374.943802877835,1752.91201099038,1
"sewa","BGP1","poor",136.652543061206,1752.91201099038,1
"sewa","BGP1","working class",101.134381105114,1752.91201099038,1
"sewa","BRF1","affluent",257.414213895451,685.860940719159,1
"sewa","BRF1","middle class",194.540461175233,685.860940719159,1
"sewa","BRF1","poor",114.075626011966,685.860940719159,1
"sewa","BRF1","working class",119.830639636508,685.860940719159,1
"baca","BT","affluent",57.924651132439,69.2155475968332,1
"baca","BT","middle class",6.52754951847789,69.2155475968332,1
"baca","BT","poor",1.99942958223647,69.2155475968332,1
"baca","BT","working class",2.76391736367983,69.2155475968332,1
"baca","CB","affluent",649.257018821035,940.529552755747,1
"baca","CB","middle class",177.515793400132,940.529552755747,1
"baca","CB","poor",31.3149679161206,940.529552755747,1
"baca","CB","working class",82.4417726184587,940.529552755747,1
"baca","CR","affluent",458.702003037233,821.60246424487,1
"baca","CR","middle class",143.013549124159,821.60246424487,1
"baca","CR","poor",132.327088312592,821.60246424487,1
"baca","CR","working class",87.559823770886,821.60246424487,1
"baca","DK","affluent",30.0747834206263,125.767276122619,1
"baca","DK","middle class",32.125336835669,125.767276122619,1
"baca","DK","poor",28.8786272618514,125.767276122619,1
"baca","DK","working class",34.6885286044724,125.767276122619,1
"sewa","DOS1","affluent",52.0473823557639,71.8435880161935,1
"sewa","DOS1","middle class",10.9833126216124,71.8435880161935,1
"sewa","DOS1","poor",4.03413079460516,71.8435880161935,1
"sewa","DOS1","working class",4.77876224421202,71.8435880161935,1
"sewa","DRP2","affluent",1496.04077655542,2183.09478370124,1
"sewa","DRP2","middle class",383.260753570768,2183.09478370124,1
"sewa","DRP2","poor",85.4859057949681,2183.09478370124,1
"sewa","DRP2","working class",218.307347780083,2183.09478370124,1
"sewa","DSP1","affluent",501.042155250215,769.865482766469,1
"sewa","DSP1","middle class",152.254899602331,769.865482766469,1
"sewa","DSP1","poor",45.1040763117421,769.865482766469,1
"sewa","DSP1","working class",71.4643516021795,769.865482766469,1
"sewa","DWP1","affluent",161.573053596048,489.624348456695,1
"sewa","DWP1","middle class",106.656502123917,489.624348456695,1
"sewa","DWP1","poor",81.2536762068591,489.624348456695,1
"sewa","DWP1","working class",140.141116529871,489.624348456695,1
"baca","DY","affluent",837.144808524313,1622.79595695014,1
"baca","DY","middle class",393.503369841765,1622.79595695014,1
"baca","DY","poor",187.253667543593,1622.79595695014,1
"baca","DY","working class",204.894111040473,1622.79595695014,1
"baca","EN","affluent",30.0747834206307,125.767276122637,1
"baca","EN","middle class",32.1253368356737,125.767276122637,1
"baca","EN","poor",28.8786272618556,125.767276122637,1
"baca","EN","working class",34.6885286044774,125.767276122637,1
"sewa","FGL1","affluent",257.72858478473,645.810174000839,1
"sewa","FGL1","middle class",171.299169554334,645.810174000839,1
"sewa","FGL1","poor",93.3031487261187,645.810174000839,1
"sewa","FGL1","working class",123.479270935656,645.810174000839,1
"sewa","FRD1","affluent",126.967179292892,169.223827316294,1
"sewa","FRD1","middle class",26.7511547059116,169.223827316294,1
"sewa","FRD1","poor",3.73281674306893,169.223827316294,1
"sewa","FRD1","working class",11.772676574422,169.223827316294,1
"tawa","G-CBP1","affluent",355.162915708635,1358.78102779081,1
"tawa","G-CBP1","middle class",492.30201975998,1358.78102779081,1
"tawa","G-CBP1","poor",236.800210822674,1358.78102779081,1
"tawa","G-CBP1","working class",274.515881499526,1358.78102779081,1
"tawa","G-CLP2","affluent",366.440572662821,1148.55242743921,1
"tawa","G-CLP2","middle class",355.686892984747,1148.55242743921,1
"tawa","G-CLP2","poor",198.002255612436,1148.55242743921,1
"tawa","G-CLP2","working class",228.422706179205,1148.55242743921,1
"tawa","G-FP1","affluent",436.497947269365,1539.19075247503,1
"tawa","G-FP1","middle class",495.616870816401,1539.19075247503,1
"tawa","G-FP1","poor",268.711442411812,1539.19075247503,1
"tawa","G-FP1","working class",338.364491977453,1539.19075247503,1
"tawa","G-IP","affluent",183.787101991699,913.422316193566,1
"tawa","G-IP","middle class",223.668484050378,913.422316193566,1
"tawa","G-IP","poor",311.881939333518,913.422316193566,1
