"city","site","variable","value","year"
"poor","POOR-E01-OB1","HCT012001",35633.0613817592,1
"poor","POOR-E02-OB2","HCT012001",34795.9648397592,1
"poor","POOR-E03-JCP","HCT012001",40283.8088250041,1
"poor","POOR-E04-TJP","HCT012001",64664.4474414668,1
"poor","POOR-E06-BEL","HCT012001",50728.7935994567,1
"poor","POOR-E08-WFP","HCT012001",55547.1406105999,1
"poor","POOR-E11-BTP","HCT012001",46119.1252837105,1
"poor","POOR-E12-128","HCT012001",32045.1776700752,1
"poor","POOR-E13-PB1","HCT012001",22904.1344737482,1
"poor","POOR-E15-PB3","HCT012001",26379.3452730123,1
"poor","POOR-E17-JBP","HCT012001",32231.9800860858,1
"poor","POOR-E18-SW7","HCT012001",32171.9237083003,1
"poor","POOR-E19-MAP","HCT012001",18886.5248708785,1
"poor","POOR-E20-HOR","HCT012001",25386.0151454692,1
"poor","POOR-W01-GHP","HCT012001",101772.513660677,1
"poor","POOR-W02-MNP","HCT012001",92452.2332316288,1
"poor","POOR-W03-CCP","HCT012001",78944.101121869,1
"poor","POOR-W04-WHA","HCT012001",64140.2623439668,1
"poor","POOR-W09-TBP","HCT012001",55627.6322028152,1
"poor","POOR-W10-HRP","HCT012001",37807.1339501251,1
"poor","POOR-W11-TWP","HCT012001",85401.6321202727,1
"poor","POOR-W13-BLP","HCT012001",49208.7464784786,1
"poor","POOR-W14-PSF","HCT012001",37220.2187618176,1
"sewa","SEWA_N01_DSP1_AP19_OFF","HCT012001",31821.9328848182,1
"sewa","SEWA_N01_LTP1_AP19_OFF","HCT012001",54837.0540159964,1
"sewa","SEWA_N01_LWP1_AP19_OFF","HCT012001",120508.674227285,1
"sewa","SEWA_N01_PGP1_AP19_OFF","HCT012001",27877.2523816496,1
"sewa","SEWA_N02_DRP1_AP19_OFF","HCT012001",145502.615854167,1
"sewa","SEWA_N02_PHN1_AP19_OFF","HCT012001",147142.817992288,1
"sewa","SEWA_N02_WCP1_AP19_OFF","HCT012001",41278.9349013619,1
"sewa","SEWA_N03_BGP1_AP19_OFF","HCT012001",63060.5763094072,1
"sewa","SEWA_N03_IRP1_AP19_OFF","HCT012001",141391.184569083,1
"sewa","SEWA_N03_MGP1_AP19_OFF","HCT012001",26547.7451255629,1
"sewa","SEWA_N03_RVP1_AP19_OFF","HCT012001",145635.399033006,1
"sewa","SEWA_N04_HFW1_AP19_OFF","HCT012001",80928.5223886658,1
"sewa","SEWA_N04_JBP1_AP19_OFF","HCT012001",42176.1702947773,1
"sewa","SEWA_N05_NRP1_AP19_OFF","HCT012001",63834.7103913261,1
"sewa","SEWA_N05_SVP1_AP19_OFF","HCT012001",33292.8560693585,1
"sewa","SEWA_N06_MBC1_AP19_OFF","HCT012001",24049.5255899848,1
"sewa","SEWA_N06_SWD1_AP19_OFF","HCT012001",39233.504626769,1
"sewa","SEWA_N07_FRD1_AP19_OFF","HCT012001",8731.62578250377,1
"sewa","SEWA_N07_RHF1_AP19_OFF","HCT012001",9946.4441570514,1
"sewa","SEWA_N07_RWP1_AP19_OFF","HCT012001",13878.0778057811,1
"sewa","SEWA_N08_DOS1_AP19_OFF","HCT012001",4066.45991356335,1
"sewa","SEWA_S01_TMP1_AP19_OFF","HCT012001",18985.9371596551,1
"sewa","SEWA_S02_DWP1_AP19_OFF","HCT012001",27048.3951386322,1
"sewa","SEWA_S02_MSR1_AP19_OFF","HCT012001",39723.8052552746,1
"sewa","SEWA_S02_MWP1_AP19_OFF","HCT012001",24951.839790333,1
"sewa","SEWA_S02_WDG1_AP19_OFF","HCT012001",36849.6290288207,1
"sewa","SEWA_S03_HCN1_AP19_OFF","HCT012001",24693.29016922,1
"sewa","SEWA_S04_FGL1_AP19_OFF","HCT012001",22517.8279647701,1
"sewa","SEWA_S05_BRF1_AP19_OFF","HCT012001",21151.4822805547,1
"sewa","SEWA_S06_MPO1_AP19_OFF","HCT012001",29800.431784705,1
"sewa","SEWA_S06_TCC1_AP19_OFF","HCT012001",65541.0738064279,1
"sewa","SEWA_S07_TRN1_AP19_OFF","HCT012001",7846.04480193005,1
"sewa","SEWA_S08_TMF1_AP19_OFF","HCT012001",2053.16493185723,1
"tawa","B-TP","HCT012001",30980.9377573778,1
"tawa","G-CBP1","HCT012001",35248.6440999261,1
"tawa","G-CLP2","HCT012001",29116.2778548412,1
"tawa","G-FP1","HCT012001",41634.8391539675,1
"tawa","G-IP","HCT012001",31243.9955594495,1
"tawa","G-JP","HCT012001",51288.6277475095,1
