City,Site,Long,Lat
ahga,ALIB,-83.40401478,33.94471779
ahga,ARPT,-83.33914388,33.94649106
ahga,BARN,-83.40408165,33.95670774
ahga,BBPK,-83.43771387,33.95727207
ahga,BHVN,-83.41721859,33.95066208
ahga,BZOO,-83.38823876,33.92717325
ahga,CSHS,-83.32846765,33.91874336
ahga,CVMD,-83.35069473,33.92080034
ahga,DCKR,-83.38977954,33.93702492
ahga,DUDP,-83.36754655,33.95563109
ahga,DXBH,-83.43232976,33.94791194
ahga,FIRE,-83.41568891,33.96275546
ahga,HALP,-83.38429135,33.95123247
ahga,LDFN,-83.26519972,33.93385415
ahga,LDFS,-83.26440767,33.92150731
ahga,MBRD,-83.44911458,33.94735357
ahga,NDA1,-83.48397219,33.94963899
ahga,NOWR,-83.35882739,33.94157117
ahga,RDIO,-83.45596294,33.96317511
ahga,RHDR,-83.41689967,33.93976805
ahga,SEPK,-83.30372434,33.9240146
ahga,STPK,-83.32309306,33.94225099
ahga,UGACF,-83.24594564,33.89430941
ahga,UGDF,-83.25251121,33.91331329
ahga,UGLH,-83.37546523,33.92405745
ahga,UGRC,-83.36054156,33.92999768
ahga,WARN,-83.37354665,33.94377657
ahga,WSBS,-83.45996268,33.93786886
autx,AUTX-C01-EML,-97.83463,30.34375
autx,AUTX-C01-WBP,-97.818565,30.313086
autx,AUTX-C02-BOG,-97.71228079,30.27003865
autx,AUTX-C02-PEA,-97.753562,30.284234
autx,AUTX-C02-RBI,-97.786779,30.290917
autx,AUTX-C02-ROY,-97.70617,30.24436
autx,AUTX-C02-ZIL,-97.77658,30.27233
autx,AUTX-C03-HOR,-97.65006,30.2151
autx,AUTX-C03-MON,-97.69046152,30.23157648
autx,AUTX-C03-ONI,-97.61216,30.19906
autx,AUTX-H02-BLU,-97.74772665,30.23286229
autx,AUTX-WL1-DEL,-97.74114993,30.25940001
autx,AUTX-WL10-HIG,-97.71350127,30.33511915
autx,AUTX-WL4-UTA,-97.73443654,30.28360757
autx,AUTX-WL8-WRI,-97.72569585,30.3139306
autx,AUTX-WL9-REI,-97.71859894,30.32703493
autx,AUTX_BCG,-97.78541,30.25653
autx,AUTX_BDP,-97.69076734,30.30183771
autx,AUTX_BRDP,-97.67275128,30.2573506
autx,AUTX_BRP,-97.843566,30.16604989
autx,AUTX_CF,-97.89155907,30.33687685
autx,AUTX_CRWS,-97.69490053,30.24723862
autx,AUTX_DNP,-97.75131369,30.27323129
autx,AUTX_EW/FG,-97.72793,30.24981
autx,AUTX_GVP,-97.6890404,30.26040133
autx,AUTX_MFBCP,-97.76457978,30.28174999
autx,AUTX_PLC,-97.68952926,30.27764356
autx,AUTX_SONP,-97.86524346,30.16019342
autx,AUTX_TNP,-97.76015,30.29651
autx,AUTX_WBCG,-97.75843161,30.25640687
autx,Berg,-97.67014336,30.17243729
autx,OSA,-97.81648564,30.13191634
boma,ALN,-71.13699361,42.29748616
boma,ARB1,-71.12307729,42.30342279
boma,ARB2,-71.12558823,42.2922138
boma,BDL,-71.12489695,42.20208883
boma,BNC,-71.10021854,42.28965103
boma,BRA,-71.06982556,42.08825365
boma,BRD1,-71.10939455,42.08760938
boma,BRD2,-71.11102139,42.10669445
boma,BRT,-71.12348737,42.37682391
boma,BSU,-70.96238146,41.98338424
boma,DAN,-71.16154831,42.31722975
boma,EVR,-71.16424429,42.33971975
boma,FRPO1,-71.15198411,42.38953038
boma,FRPO2,-71.14746725,42.37997926
boma,FVW,-71.14048846,42.24483256
boma,GLD,-71.08688954,42.27446779
boma,GRT,-70.91798262,41.96413218
boma,HAB,-71.18401235,42.40430572
boma,HAL,-71.11111938,42.34632107
boma,MTA,-71.14148806,42.37081999
boma,MUS,-71.13735528,42.16443838
boma,PKN,-71.13783958,42.19705721
boma,SRN,-71.12382033,42.26964245
boma,STN,-71.06950426,42.0707474
boma,STR,-70.8953726,41.97217658
boma,TKR,-70.94669939,42.00121328
boma,ZNE,-71.0929906,42.30555208
chil,C04-MBP1,-87.57339472,41.71308499
chil,C05-BEA1,-87.58721191,41.65419878
chil,C05-BMP1,-87.57510693,41.69479206
chil,C05-BMP2,-87.56486107,41.6857457
chil,C05-EGG1,-87.52634943,41.68809924
chil,C05-SPA1,-87.56351755,41.66809833
chil,C06-BEA2,-87.58174014,41.64524646
chil,C06-HMP1,-87.56991671,41.65680784
chil,D02-BMT1,-87.66977928,41.91433602
chil,D02-HUP0,-87.69904915,41.90585734
chil,D02-JBS1,-87.6399905,41.94889355
chil,D02-MDU1,-87.6330656,41.96478369
chil,D02-MOP1,-87.72430748,41.91858492
chil,D02-RCP1,-87.69329358,41.94109499
chil,D02-SCP1,-87.68589743,41.92296839
chil,D03-AFP1,-87.71652991,41.94666256
chil,D03-AMP1,-87.7482015,41.96850882
chil,D03-CHP1,-87.76234923,41.94245857
chil,D03-GOM1,-87.73063446,41.97527786
chil,D03-HOR1,-87.69473925,41.95758198
chil,D03-NPV1,-87.72834195,41.98593826
chil,D03-STB1,-87.66563918,41.96962066
chil,D04-DNP1,-87.78423327,41.96512952
chil,D04-EDW0,-87.7646423,41.99098007
chil,D04-FGP1,-87.75452049,41.97728945
chil,D04-RDP1,-87.78559613,41.98961368
chil,D04-ROS0,-87.68932042,41.98771934
chil,D05-ADC2,-87.79449262,42.00214816
chil,D05-BRP1,-87.80710669,42.00945005
chil,D05-MIA1,-87.79567324,42.02421505
