"locationID","fullName","utmEast","utmNorth","utmZone","locationAbbr","areaID","landOwnerID","defaultTimeZone","areaAbbr"
4292,"ACC Library",277826,3758630,"17","ALIB",44,1120,"US/Eastern","AHGA"
4293,"Cedar Shoals High School",284744,3755588,"17","CSHS",44,1120,"US/Eastern","AHGA"
4294,"Ben Epps Airport",283827,3758688,"17","ARPT",44,1120,"US/Eastern","AHGA"
4295,"Barnes",277851,3759960,"17","BARN",44,1121,"US/Eastern","AHGA"
4296,"Bear Hollow Zoo",279239,3756650,"17","BZOO",44,1120,"US/Eastern","AHGA"
4297,"Beech Haven",276621,3759318,"17","BHVN",44,1120,"US/Eastern","AHGA"
4298,"Ben Burton Park",274744,3760096,"17","BBPK",44,1120,"US/Eastern","AHGA"
4299,"Birchwood Trail",279115,3756786,"17","BWDT",44,1120,"US/Eastern","AHGA"
4300,"Bishop Park",276961,3760756,"17","BIHP",44,1120,"US/Eastern","AHGA"
4301,"College of Veterinary Medicine",282694,3755863,"17","CVMD",44,1123,"US/Eastern","AHGA"
4302,"Dairy Farm",291754,3754829,"17","UGDF",44,1123,"US/Eastern","AHGA"
4303,"Decker Park",279122,3757746,"17","DCKR",44,1120,"US/Eastern","AHGA"
4304,"Dudley Park",281225,3759762,"17","DUDP",44,1120,"US/Eastern","AHGA"
4305,"DX Beech Haven",275217,3759046,"17","DXBH",44,1120,"US/Eastern","AHGA"
4306,"Ed Halper",279666,3759310,"17","HALP",44,1122,"US/Eastern","AHGA"
4307,"Ed Halper2",279658,3759321,"17","HALP2",44,1122,"US/Eastern","AHGA"
4308,"Fire Station #4",276794,3760656,"17","FIRE",44,1120,"US/Eastern","AHGA"
4309,"Lake Herrick",280412,3756277,"17","UGLH",44,1123,"US/Eastern","AHGA"
4310,"Landfill North",290631,3757133,"17","LDFN",44,1120,"US/Eastern","AHGA"
4311,"Landfill South",290674,3755762,"17","LDFS",44,1120,"US/Eastern","AHGA"
4312,"Mitchell Bridge Road",273664,3759021,"17","MBRD",44,1120,"US/Eastern","AHGA"
4313,"National Deer Association",270448,3759352,"17","NDA1",44,1124,"US/Eastern","AHGA"
4314,"National Deer Association",270603,3759644,"17","NDA2",44,1124,"US/Eastern","AHGA"
4315,"North Oconee Water Reclamation Facility",281995,3758184,"17","NOWR",44,1120,"US/Eastern","AHGA"
4316,"Radio Tower",273073,3760791,"17","RDIO",44,1120,"US/Eastern","AHGA"
4317,"Riverhill Drive",276622,3758109,"17","RHDR",44,1120,"US/Eastern","AHGA"
4318,"Rivers Crossing",281807,3756904,"17","UGRC",44,1123,"US/Eastern","AHGA"
