"Site","gentrifying","vulnerable","City","geometry"
"ALN",FALSE,FALSE,"boma",c(-71.1369936063549, 42.297486157279)
"ARB1",TRUE,TRUE,"boma",c(-71.1230772870351, 42.3034227861667)
"ARB2",TRUE,TRUE,"boma",c(-71.1255882272557, 42.2922138047156)
"BDL",FALSE,FALSE,"boma",c(-71.1248969488337, 42.202088833564)
"BNC",FALSE,TRUE,"boma",c(-71.100218542467, 42.2896510345299)
"BRA",FALSE,TRUE,"boma",c(-71.0698255558567, 42.0882536451383)
"BRD1",FALSE,FALSE,"boma",c(-71.1093945502058, 42.0876093820372)
"BRD2",FALSE,FALSE,"boma",c(-71.1110213852361, 42.106694446977)
"BRT",FALSE,FALSE,"boma",c(-71.1234873724308, 42.3768239143617)
"BSU",FALSE,FALSE,"boma",c(-70.9623814567808, 41.9833842364635)
"DAN",FALSE,FALSE,"boma",c(-71.1615483060773, 42.3172297511609)
"EVR",FALSE,FALSE,"boma",c(-71.1642442857749, 42.3397197466569)
"FRPO1",TRUE,TRUE,"boma",c(-71.1519841066948, 42.3895303797904)
"FRPO2",FALSE,FALSE,"boma",c(-71.1474672531726, 42.3799792567772)
"FVW",TRUE,TRUE,"boma",c(-71.1404884628423, 42.2448325597294)
"GLD",TRUE,TRUE,"boma",c(-71.0868895423166, 42.2744677920765)
"GRT",FALSE,TRUE,"boma",c(-70.917982620024, 41.9641321778148)
"HAB",FALSE,FALSE,"boma",c(-71.1840123543448, 42.4043057195708)
"HAL",TRUE,TRUE,"boma",c(-71.1111193812362, 42.3463210662834)
"MTA",FALSE,FALSE,"boma",c(-71.1414880563626, 42.3708199946819)
"MUS",FALSE,FALSE,"boma",c(-71.1373552835238, 42.1644383771403)
"PKN",FALSE,FALSE,"boma",c(-71.1378395758795, 42.1970572052956)
"SRN",TRUE,TRUE,"boma",c(-71.1238203303237, 42.269642446346)
"STN",TRUE,TRUE,"boma",c(-71.0695042645503, 42.0707474025594)
"STR",FALSE,FALSE,"boma",c(-70.8953725965811, 41.972176576287)
"TKR",FALSE,FALSE,"boma",c(-70.9466993898627, 42.0012132772763)
"ZNE",FALSE,TRUE,"boma",c(-71.0929905965799, 42.3055520780961)
