"Site","gentrifying","vulnerable","City","geometry"
"C04-MBP1",FALSE,TRUE,"chil",c(-87.57339472, 41.71308499)
"C05-BMP1",FALSE,TRUE,"chil",c(-87.57510693, 41.69479206)
"C05-BMP2",FALSE,TRUE,"chil",c(-87.56486107, 41.6857457)
"C05-SPA1",TRUE,TRUE,"chil",c(-87.5635175470222, 41.6680983277148)
"C06-HMP1",TRUE,TRUE,"chil",c(-87.56991671, 41.65680784)
"D02-BMT1",FALSE,FALSE,"chil",c(-87.66977928, 41.91433602)
"D02-HUP0",TRUE,TRUE,"chil",c(-87.69904915, 41.90585734)
"D02-JBS1",FALSE,FALSE,"chil",c(-87.6399905, 41.94889355)
"D02-MOP1",TRUE,TRUE,"chil",c(-87.72430748, 41.91858492)
"D02-RCP1",TRUE,TRUE,"chil",c(-87.69329358, 41.94109499)
"D02-SCP1",TRUE,TRUE,"chil",c(-87.68589743, 41.92296839)
"D03-AFP1",FALSE,TRUE,"chil",c(-87.71652991, 41.94666256)
"D03-AMP1",TRUE,TRUE,"chil",c(-87.7482015, 41.96850882)
"D03-CHP1",TRUE,TRUE,"chil",c(-87.76234923, 41.94245857)
"D03-GOM1",TRUE,TRUE,"chil",c(-87.73063446, 41.97527786)
"D03-NPV1",FALSE,TRUE,"chil",c(-87.72834195, 41.98593826)
"D03-STB1",TRUE,TRUE,"chil",c(-87.66563918, 41.96962066)
"D04-DNP1",TRUE,TRUE,"chil",c(-87.78423327, 41.96512952)
"D04-EDW0",FALSE,FALSE,"chil",c(-87.7646423, 41.99098007)
"D04-RDP1",FALSE,FALSE,"chil",c(-87.78559613, 41.98961368)
"D04-ROS0",FALSE,TRUE,"chil",c(-87.68932042, 41.98771934)
"D05-ADC2",FALSE,FALSE,"chil",c(-87.7944926152454, 42.0021481597772)
"D05-BRP1",FALSE,FALSE,"chil",c(-87.80710669, 42.00945005)
"D05-MIA1",FALSE,FALSE,"chil",c(-87.79567324, 42.02421505)
"D05-PRC1",FALSE,FALSE,"chil",c(-87.8318759, 42.02154012)
"D06-KCG1",FALSE,FALSE,"chil",c(-87.85328609, 42.07983052)
"D07-ASC0",FALSE,TRUE,"chil",c(-87.88662949, 42.05985363)
"D07-NOC1",FALSE,FALSE,"chil",c(-87.87945486, 42.09431792)
"D08-CCC1",FALSE,FALSE,"chil",c(-87.92248236, 42.15870422)
"D08-DAW0",TRUE,TRUE,"chil",c(-87.89377889, 42.12577912)
"D08-DAW2",TRUE,TRUE,"chil",c(-87.90145123, 42.13530185)
"D09-CLG0",FALSE,FALSE,"chil",c(-87.9176414, 42.187657685)
"D09-RYW1",FALSE,FALSE,"chil",c(-87.90419482, 42.1775919)
"D09-VTC1",FALSE,FALSE,"chil",c(-87.9292671, 42.20377534)
"D10-CAN0",FALSE,FALSE,"chil",c(-87.93847762, 42.24007189)
"D10-MAC1",FALSE,FALSE,"chil",c(-87.92753011, 42.25476444)
"D10-VHC1",FALSE,FALSE,"chil",c(-87.94735573, 42.22265299)
"J01-BBS1",TRUE,TRUE,"chil",c(-87.61051042, 41.84834938)
"J01-LMP1",TRUE,TRUE,"chil",c(-87.61053666, 41.83717173)
"J01-SEP1",TRUE,TRUE,"chil",c(-87.63898576, 41.90142019)
"J01-SKP1",FALSE,FALSE,"chil",c(-87.66100717, 41.87989095)
"J01-UIC1",TRUE,TRUE,"chil",c(-87.6460853, 41.86897406)
"R02-DPG1",TRUE,TRUE,"chil",c(-87.69969807, 41.86036917)
"R02-FRP1",TRUE,TRUE,"chil",c(-87.73276152, 41.86167611)
"R02-HRF1",FALSE,TRUE,"chil",c(-87.7135301798515, 41.8687909871892)
"R03-AUP1",FALSE,TRUE,"chil",c(-87.76897765, 41.88766256)
"R03-CPG1",FALSE,TRUE,"chil",c(-87.7721358, 41.87566237)
"R03-EUC1",TRUE,TRUE,"chil",c(-87.79182537, 41.86573343)
"R03-MAP1",TRUE,TRUE,"chil",c(-87.80378089, 41.86786605)
"R04-MMW0",TRUE,TRUE,"chil",c(-87.83207106, 41.85280337)
"R04-MMW3",TRUE,TRUE,"chil",c(-87.82763197, 41.86356253)
"R04-SCH1",TRUE,TRUE,"chil",c(-87.8484205, 41.85567851)
"R05-FMG1",FALSE,TRUE,"chil",c(-87.91280438, 41.84824061)
"R05-GOC1",FALSE,TRUE,"chil",c(-87.88292622, 41.85757554)
"R05-STP1",TRUE,TRUE,"chil",c(-87.86937113, 41.88326265)
"R06-OTB1",FALSE,TRUE,"chil",c(-87.97779673, 41.85248376)
"R06-SLT2",FALSE,FALSE,"chil",c(-87.95678027, 41.87464622)
"R06-YOW1",FALSE,FALSE,"chil",c(-87.93312143, 41.85870532)
"R07-FSP1",FALSE,FALSE,"chil",c(-88.02228432, 41.85090748)
"R07-GOF1",FALSE,TRUE,"chil",c(-88.04194649, 41.8658981)
"R07-MMP1",FALSE,FALSE,"chil",c(-88.00296221, 41.87405852)
"R07-YHR1",FALSE,FALSE,"chil",c(-87.98972335, 41.86578813)
"R08-DAP1",FALSE,FALSE,"chil",c(-88.07916556, 41.87515101)
"R08-PAP1",FALSE,FALSE,"chil",c(-88.05904063, 41.8561811)
"R08-VLG1",FALSE,FALSE,"chil",c(-88.07091278, 41.8521756)
"R08-WBK1",FALSE,FALSE,"chil",c(-88.06135623, 41.84175796)
"R09-BLW1",FALSE,FALSE,"chil",c(-88.14724262, 41.86309312)
"R09-CTG0",FALSE,FALSE,"chil",c(-88.16212923, 41.85014493)
