"Site","gentrifying","vulnerable","City","geometry"
"M01-PRG1",TRUE,TRUE,"inin",c(-86.1412481752718, 39.7443856521256)
"M02-BCF1",FALSE,FALSE,"inin",c(-86.1406151999895, 39.7727795625576)
"M02-OBP1",TRUE,TRUE,"inin",c(-86.1402559863808, 39.7882289814946)
"M02-SBP2",TRUE,TRUE,"inin",c(-86.119673895453, 39.7859690446573)
"M03-FCP1",TRUE,TRUE,"inin",c(-86.1429739856495, 39.8111622417794)
"M03-GWP1",TRUE,TRUE,"inin",c(-86.1183324712701, 39.8165745610548)
"M03-ISD1",FALSE,TRUE,"inin",c(-86.1397752374682, 39.8334632882486)
"M04-BAS1",FALSE,FALSE,"inin",c(-86.1284024622378, 39.8541235979796)
"M04-FRP1",FALSE,FALSE,"inin",c(-86.1602333690177, 39.8612167067518)
"M04-MAP1",FALSE,FALSE,"inin",c(-86.1404484438631, 39.886492075381)
"M05-ISB2",FALSE,FALSE,"inin",c(-86.1452568025113, 39.894658952184)
"M05-SGC1",FALSE,FALSE,"inin",c(-86.1314272628763, 39.9247830342304)
"M06-MCP1",FALSE,FALSE,"inin",c(-86.1324056471564, 39.9507257280573)
"M06-PGC1",FALSE,FALSE,"inin",c(-86.1531001896429, 39.9457098886354)
"M07-CAC1",FALSE,FALSE,"inin",c(-86.1292042762005, 39.9900991878525)
"M07-CCT1",FALSE,FALSE,"inin",c(-86.1363659925206, 40.0091396558755)
"M07-WFD1",FALSE,FALSE,"inin",c(-86.124729989442, 40.0086198937232)
"M08-FTP1",FALSE,FALSE,"inin",c(-86.120308171709, 40.0494952741857)
"M08-MMT2",FALSE,FALSE,"inin",c(-86.1410217409992, 40.0396302691481)
"M08-WGP1",FALSE,FALSE,"inin",c(-86.1416696665627, 40.0608678737239)
"W01-GFP3",TRUE,TRUE,"inin",c(-86.1488890401352, 39.7354102807049)
"W01-HCC1",TRUE,TRUE,"inin",c(-86.1604127722083, 39.7353446332383)
"W01-WRG1",FALSE,TRUE,"inin",c(-86.1704732740407, 39.7391561268303)
"W02-CRS2",TRUE,TRUE,"inin",c(-86.1886109042282, 39.7766317310597)
"W02-EMP1",TRUE,TRUE,"inin",c(-86.1745171899777, 39.786178414768)
"W02-IZO3",TRUE,TRUE,"inin",c(-86.1761113651956, 39.7675679180208)
"W03-CHC1",TRUE,TRUE,"inin",c(-86.1806722999659, 39.8272713033813)
"W03-MEL1",FALSE,TRUE,"inin",c(-86.2050979070876, 39.8183033680811)
"W03-RGC1",FALSE,TRUE,"inin",c(-86.1983087363628, 39.8107261546535)
"W04-JSP1",TRUE,TRUE,"inin",c(-86.1872139254962, 39.8659219402232)
"W04-ROW1",FALSE,FALSE,"inin",c(-86.2101831949962, 39.8794665519948)
"W04-WPC1",TRUE,TRUE,"inin",c(-86.2061948533897, 39.8551676779275)
"W05-CPE1",FALSE,FALSE,"inin",c(-86.2073429116146, 39.916499106323)
"W05-IHS1",FALSE,TRUE,"inin",c(-86.2153157105752, 39.8989698179583)
"W06-CNP1",FALSE,FALSE,"inin",c(-86.2585190007244, 39.9475591822472)
"W06-UHS1",FALSE,FALSE,"inin",c(-86.210299446476, 39.9527700182519)
"W07-INA1",FALSE,FALSE,"inin",c(-86.2555850404206, 39.9860299040849)
"W07-UES2",FALSE,FALSE,"inin",c(-86.2452484176918, 40.0009533523479)
"W07-WAF1",FALSE,FALSE,"inin",c(-86.2353523082724, 40.0108558607031)
"W08-NST3",FALSE,FALSE,"inin",c(-86.244443017468, 40.0408445607105)
"W08-ROS1",FALSE,FALSE,"inin",c(-86.2852538088472, 40.0445821117534)
