"Site","gentrifying","vulnerable","City","geometry"
"A01-RES1",FALSE,FALSE,"ioio",c(-91.6449011078855, 41.8074190246671)
"A01-WMA1",FALSE,FALSE,"ioio",c(-91.6517498375637, 41.7988531968174)
"A01-WMA2",FALSE,FALSE,"ioio",c(-91.6932686726473, 41.8116452217243)
"A01-WMA3",FALSE,FALSE,"ioio",c(-91.6744261271118, 41.8140592528955)
"A02-FUH1",FALSE,FALSE,"ioio",c(-91.6479274149593, 41.7602324461723)
"A02-MET1",FALSE,FALSE,"ioio",c(-91.6099552371576, 41.7706233484718)
"A02-RES2",FALSE,FALSE,"ioio",c(-91.6377808545425, 41.7929150802787)
"A02-WMA4",FALSE,FALSE,"ioio",c(-91.6598322781036, 41.7754582551879)
"A03-CNA1",FALSE,FALSE,"ioio",c(-91.591378699458, 41.7447908990047)
"A03-JOY1",FALSE,FALSE,"ioio",c(-91.6021816207438, 41.7368798097073)
"A03-YSC1",FALSE,FALSE,"ioio",c(-91.5966478184383, 41.7226266672557)
"A04-AUB1",FALSE,FALSE,"ioio",c(-91.5772749124556, 41.7130483599636)
"A04-DOV1",FALSE,FALSE,"ioio",c(-91.5557780757941, 41.707871455086)
"A04-PEN1",FALSE,TRUE,"ioio",c(-91.5598527744631, 41.6744712705149)
"A04-WAT1",FALSE,FALSE,"ioio",c(-91.5508699193253, 41.6882558798368)
"A05-BEN1",TRUE,TRUE,"ioio",c(-91.5483791734758, 41.649918318262)
"A05-CRE1",FALSE,TRUE,"ioio",c(-91.5078094016245, 41.65115504151)
"A05-SAN1",FALSE,FALSE,"ioio",c(-91.546149709744, 41.6657512212897)
"A05-SHI1",FALSE,FALSE,"ioio",c(-91.5293522524912, 41.6802276241008)
"A06-SHP1",FALSE,TRUE,"ioio",c(-91.5251063080209, 41.6309687478739)
"A06-SYC1",FALSE,TRUE,"ioio",c(-91.5034543418029, 41.6276265081409)
"A06-SYC2",FALSE,TRUE,"ioio",c(-91.5031782555027, 41.6172469705897)
"A06-TTB1",TRUE,TRUE,"ioio",c(-91.5278752536691, 41.6195474687412)
"A07-CCG2",FALSE,TRUE,"ioio",c(-91.5951829798941, 41.6839019526727)
"A07-UIO1",FALSE,TRUE,"ioio",c(-91.5814292777321, 41.6695156774588)
"A08-PET1",FALSE,FALSE,"ioio",c(-91.5041883067078, 41.7442471247125)
"A08-RES3",FALSE,FALSE,"ioio",c(-91.5441156292274, 41.7250713187269)
"A08-RES4",FALSE,FALSE,"ioio",c(-91.5230151758782, 41.7245768225207)
"A08-TCP1",FALSE,FALSE,"ioio",c(-91.517061214953, 41.7424685671137)
"A09-HRP1",FALSE,TRUE,"ioio",c(-91.5920744308882, 41.6506690962167)
"A09-KEN1",FALSE,TRUE,"ioio",c(-91.5940302489479, 41.6408034607288)
"A09-TOK1",FALSE,TRUE,"ioio",c(-91.6085293850253, 41.6399351183545)
"A09-WCP1",FALSE,FALSE,"ioio",c(-91.5670240229265, 41.6425414926625)
"A10-ACT1",FALSE,FALSE,"ioio",c(-91.4979000189231, 41.6822436073209)
"A10-GIL1",FALSE,FALSE,"ioio",c(-91.4859729489836, 41.6995152025922)
"A10-HHP1",FALSE,FALSE,"ioio",c(-91.5110531288859, 41.6755966384614)
"A10-HPR1",TRUE,TRUE,"ioio",c(-91.4886170283551, 41.6758981790061)
