"Site","gentrifying","vulnerable","City","geometry"
"ALP",FALSE,TRUE,"jams",c(-90.22080445, 32.27770733)
"BAP",TRUE,TRUE,"jams",c(-90.20431322, 32.28626965)
"BGP",FALSE,FALSE,"jams",c(-90.34643765, 32.32919469)
"BOP",FALSE,FALSE,"jams",c(-90.15188795, 32.33577021)
"BRP",FALSE,FALSE,"jams",c(-90.10601844, 32.29676653)
"CHS",TRUE,TRUE,"jams",c(-90.15763688, 32.35636751)
"CLN",FALSE,FALSE,"jams",c(-90.31834265, 32.34302765)
"CON",FALSE,TRUE,"jams",c(-90.07393613, 32.27603724)
"CRN",FALSE,FALSE,"jams",c(-90.0994292, 32.47441666)
"FOP",TRUE,TRUE,"jams",c(-90.17781832, 32.34104201)
"FRP",TRUE,TRUE,"jams",c(-90.12109603, 32.41324288)
"GAS",TRUE,TRUE,"jams",c(-90.19127841, 32.3254733)
"GRC",FALSE,TRUE,"jams",c(-90.18278543, 32.31031618)
"GRN",FALSE,FALSE,"jams",c(-90.08889775, 32.48832873)
"LAC1",FALSE,TRUE,"jams",c(-90.28995272, 32.33619881)
"LAC2",FALSE,TRUE,"jams",c(-90.29484, 32.34343)
"LAP",TRUE,TRUE,"jams",c(-90.16179748, 32.31669823)
"LEN",TRUE,TRUE,"jams",c(-90.15524093, 32.32331291)
"LGN",FALSE,FALSE,"jams",c(-89.9705076, 32.27562094)
"LIP",FALSE,FALSE,"jams",c(-90.13183598, 32.4597419)
"MAN",FALSE,FALSE,"jams",c(-90.09684926, 32.45605424)
"MAP",TRUE,TRUE,"jams",c(-90.16013228, 32.37337484)
"MAS",FALSE,FALSE,"jams",c(-90.06893426, 32.52032285)
"MFP",TRUE,TRUE,"jams",c(-90.18359654, 32.30023562)
"MIP",FALSE,TRUE,"jams",c(-90.17893512, 32.32627974)
"MOC",FALSE,FALSE,"jams",c(-90.12675134, 32.47684703)
"MON",FALSE,FALSE,"jams",c(-90.07634971, 32.53383935)
"NAC",FALSE,FALSE,"jams",c(-90.12075866, 32.44758736)
"NON",FALSE,FALSE,"jams",c(-90.12587141, 32.40108972)
"NTE",TRUE,TRUE,"jams",c(-90.1246836, 32.42612807)
"NTW",FALSE,FALSE,"jams",c(-90.36201857, 32.32916093)
"OLC",FALSE,FALSE,"jams",c(-89.99234108, 32.27571815)
"OLS",FALSE,FALSE,"jams",c(-90.13657404, 32.43234993)
"PAG",FALSE,TRUE,"jams",c(-90.05226339, 32.26295513)
"PAN",FALSE,FALSE,"jams",c(-90.10849501, 32.5075346)
"PAP",FALSE,FALSE,"jams",c(-90.14398688, 32.36480489)
"PEG1",FALSE,FALSE,"jams",c(-90.10535546, 32.27655453)
"PEG2",FALSE,TRUE,"jams",c(-90.10671684, 32.26811029)
"SOP",FALSE,FALSE,"jams",c(-89.97174868, 32.26259039)
"TOP",FALSE,TRUE,"jams",c(-90.16177586, 32.39487118)
"TWR",FALSE,FALSE,"jams",c(-90.08667132, 32.49963751)
"VAP",FALSE,TRUE,"jams",c(-90.24708629, 32.31940042)
"WEP",FALSE,TRUE,"jams",c(-90.27934314, 32.31027195)
"WOP",FALSE,FALSE,"jams",c(-90.11480791, 32.43879542)
