"Site","gentrifying","vulnerable","City","geometry"
"CalT01",TRUE,TRUE,"mela",c(-117.916298623539, 33.8157207443068)
"CalT02",FALSE,FALSE,"mela",c(-117.881084307794, 33.805271410707)
"CalT03",TRUE,TRUE,"mela",c(-117.903640661799, 33.8027264606497)
"ED01",FALSE,TRUE,"mela",c(-117.987697016941, 33.8047881178395)
"ED03",FALSE,TRUE,"mela",c(-117.969445855105, 33.8068375271505)
"ED04",FALSE,FALSE,"mela",c(-117.951456000186, 33.8069498755286)
"ED05",TRUE,TRUE,"mela",c(-117.929322823416, 33.8073355649165)
"ED06",FALSE,FALSE,"mela",c(-117.864989403395, 33.8131201236705)
"ED07",FALSE,FALSE,"mela",c(-117.852295553493, 33.8132061954313)
"ED08",FALSE,FALSE,"mela",c(-117.841537487599, 33.8132612183215)
"ELMOD",FALSE,FALSE,"mela",c(-117.792826996357, 33.7987084501634)
"H01-AST1",FALSE,FALSE,"mela",c(-118.167327566169, 34.1382466417473)
"H01-BEA2",FALSE,FALSE,"mela",c(-118.23860919717, 34.1884271386656)
"H01-BGC1",TRUE,TRUE,"mela",c(-118.171401187258, 34.1732878175052)
"H01-CCH1",FALSE,FALSE,"mela",c(-118.194734272045, 34.1706280130158)
"H01-DEB1",TRUE,TRUE,"mela",c(-118.199559831064, 34.0968205758061)
"H01-DVG",TRUE,TRUE,"mela",c(-118.173265789529, 34.1857147789063)
"H01-FIR1",FALSE,FALSE,"mela",c(-118.215555137566, 34.1729485487576)
"H01-FLN1",FALSE,FALSE,"mela",c(-118.317683926119, 34.2364613272562)
"H01-FRE1",FALSE,FALSE,"mela",c(-118.323998859909, 34.2507494247889)
"H01-GSC1",FALSE,FALSE,"mela",c(-118.213906457413, 34.1858604720968)
"H01-HFR1",FALSE,FALSE,"mela",c(-118.280285079836, 34.2232407858084)
"H01-HNP1",TRUE,TRUE,"mela",c(-118.174282170132, 34.1932801228442)
"H01-LTC1",FALSE,FALSE,"mela",c(-118.304325628877, 34.2292096502222)
"H01-OCC1",FALSE,FALSE,"mela",c(-118.235023714954, 34.2015211407264)
"H01-OXY1",FALSE,FALSE,"mela",c(-118.209398132198, 34.126927657672)
"H01-RHR1",FALSE,FALSE,"mela",c(-118.158657132284, 34.2180476541662)
"H01-ROS1",FALSE,FALSE,"mela",c(-118.168110544748, 34.155734124552)
"H01-SPS1",TRUE,TRUE,"mela",c(-118.16734266949, 34.1243587345724)
"H01-TMC1",FALSE,FALSE,"mela",c(-118.181406060234, 34.1757169271167)
"H01-WAV1",FALSE,FALSE,"mela",c(-118.311086462341, 34.2430247992848)
"H01-WTP1",FALSE,FALSE,"mela",c(-118.319021820833, 34.2212972061554)
"H01-WWD1",FALSE,FALSE,"mela",c(-118.258224630545, 34.2166156128012)
"IRC01",FALSE,FALSE,"mela",c(-117.741002107635, 33.7706931019229)
"IRC02",FALSE,FALSE,"mela",c(-117.725352442072, 33.7679631324207)
"IRC03",FALSE,FALSE,"mela",c(-117.70310242313, 33.7608586520145)
"IRC04",FALSE,FALSE,"mela",c(-117.683025810735, 33.7523311501139)
"IRC05",FALSE,FALSE,"mela",c(-117.668010332756, 33.7457933323806)
"IRC06",FALSE,FALSE,"mela",c(-117.65291929031, 33.734681392118)
"IRC07",FALSE,FALSE,"mela",c(-117.647482937262, 33.7194406856853)
"OAK",FALSE,FALSE,"mela",c(-117.800078847996, 33.810656727064)
"OCP02",FALSE,FALSE,"mela",c(-117.763152792082, 33.784486154091)
"OCP03",FALSE,FALSE,"mela",c(-117.760563878081, 33.77282775396)
"PW01",FALSE,FALSE,"mela",c(-117.783430530526, 33.7933888902747)
"SA",FALSE,FALSE,"mela",c(-117.89618484066, 33.8108616802827)
