"Site","gentrifying","vulnerable","City","geometry"
"NCAP-DC-ARB1",TRUE,TRUE,"naca",c(-76.9579414714346, 38.9092473252788)
"NCAP-DC-BEH1",FALSE,TRUE,"naca",c(-77.0091734541561, 38.8185791590953)
"NCAP-DC-BHP1",TRUE,TRUE,"naca",c(-76.9715875990801, 38.9389499454405)
"NCAP-DC-CHA1",TRUE,TRUE,"naca",c(-76.9459732395772, 38.8903274200069)
"NCAP-DC-CON1",TRUE,TRUE,"naca",c(-76.9764507360039, 38.8815933612654)
"NCAP-DC-FBP1",FALSE,FALSE,"naca",c(-77.0774244039829, 38.905217416941)
"NCAP-DC-FDU1",FALSE,TRUE,"naca",c(-76.9422326256646, 38.8744773007164)
"NCAP-DC-FSP1",TRUE,TRUE,"naca",c(-77.0145956110623, 38.9604706392575)
"NCAP-DC-KEN1",TRUE,TRUE,"naca",c(-76.9422781323673, 38.9159244432025)
"NCAP-DC-NAT1",FALSE,FALSE,"naca",c(-77.0378006763285, 38.9050375016011)
"NCAP-DC-NSP1",FALSE,FALSE,"naca",c(-77.0608080186236, 38.9215772860101)
"NCAP-DC-OLV1",TRUE,TRUE,"naca",c(-76.9803185344795, 38.9123117279498)
"NCAP-DC-PBP1",FALSE,TRUE,"naca",c(-76.9648181784261, 38.8771628934021)
"NCAP-DC-RCC1",TRUE,TRUE,"naca",c(-77.0166129551332, 38.9461455317634)
"NCAP-DC-RCP1",FALSE,FALSE,"naca",c(-77.0530365970491, 38.9866327886196)
"NCAP-DC-RCP2",FALSE,TRUE,"naca",c(-77.0515627376099, 38.9662101287512)
"NCAP-DC-RCP3",FALSE,FALSE,"naca",c(-77.0430875425067, 38.9368368873022)
"NCAP-DC-SHE1",TRUE,TRUE,"naca",c(-77.0048811721881, 38.8507300293383)
"NCAP-DC-SOV1",FALSE,FALSE,"naca",c(-77.0626031753888, 38.946476846992)
"NCAP-MD-BSP1",TRUE,TRUE,"naca",c(-76.9015113664354, 38.8451607178576)
"NCAP-MD-CCC1",FALSE,FALSE,"naca",c(-77.0837552723209, 38.9938547589381)
"NCAP-MD-CRG1",FALSE,TRUE,"naca",c(-76.9871880501726, 38.8144951424983)
"NCAP-MD-CVH1",FALSE,FALSE,"naca",c(-77.0585812510342, 39.0283600622088)
"NCAP-MD-FFP1",TRUE,TRUE,"naca",c(-77.02860458357, 38.7698931780237)
"NCAP-MD-GCP1",FALSE,TRUE,"naca",c(-76.8917064764326, 38.9552611360469)
"NCAP-MD-HCR1",FALSE,TRUE,"naca",c(-76.9337886790971, 38.814247181562)
"NCAP-MD-IST1",FALSE,TRUE,"naca",c(-77.0096478356506, 39.0160858906352)
"NCAP-MD-KCP1",TRUE,TRUE,"naca",c(-76.8981606132187, 38.9244984213163)
"NCAP-MD-LFP1",FALSE,FALSE,"naca",c(-77.1156193988158, 38.9472394631233)
"NCAP-MD-LFP2",FALSE,FALSE,"naca",c(-77.1076592519162, 38.9585741307171)
"NCAP-MD-LFP3",FALSE,FALSE,"naca",c(-77.1022822810274, 38.9734297419227)
"NCAP-MD-MRC1",TRUE,TRUE,"naca",c(-76.8793721603025, 38.8839039852374)
"NCAP-MD-NWP1",FALSE,FALSE,"naca",c(-77.0113518981078, 39.0488984958357)
"NCAP-MD-PBP1",TRUE,TRUE,"naca",c(-76.9308159966837, 38.9865755704389)
"NCAP-MD-PGM1",TRUE,TRUE,"naca",c(-76.9652344401154, 38.9707508700409)
"NCAP-MD-RCP1",TRUE,TRUE,"naca",c(-76.9859119705579, 38.9646161034548)
"NCAP-MD-RCS2",FALSE,FALSE,"naca",c(-77.0761889450474, 39.0091266846473)
"NCAP-MD-SCG1",FALSE,FALSE,"naca",c(-77.0301871684866, 39.0138109603813)
"NCAP-MD-SLC1",TRUE,TRUE,"naca",c(-77.0303308450376, 39.0341713665077)
"NCAP-MD-SLP1",TRUE,TRUE,"naca",c(-76.9297580905722, 38.8381466781944)
"NCAP-MD-SYC1",FALSE,FALSE,"naca",c(-77.131375088261, 38.9566836118193)
"NCAP-MD-TCC1",FALSE,TRUE,"naca",c(-76.9825535777119, 38.7840012887818)
"NCAP-MD-TPB1",FALSE,FALSE,"naca",c(-77.0093541441756, 38.9835956897933)
"NCAP-MD-WMR1",FALSE,TRUE,"naca",c(-76.8675533923886, 38.8723709771122)
"NCAP-VA-ANC1",FALSE,FALSE,"naca",c(-77.0766824612138, 38.8825247750658)
"NCAP-VA-ARM1",TRUE,TRUE,"naca",c(-77.0824744656575, 38.8526876456669)
"NCAP-VA-BAR1",TRUE,TRUE,"naca",c(-77.1016778832724, 38.8470274712359)
"NCAP-VA-BBP1",FALSE,TRUE,"naca",c(-77.1148033536181, 38.8112898991706)
"NCAP-VA-BLU1",FALSE,FALSE,"naca",c(-77.1285257027523, 38.8671745603559)
"NCAP-VA-BMP1",FALSE,TRUE,"naca",c(-77.1502044354456, 38.8074718612288)
"NCAP-VA-BSH1",FALSE,FALSE,"naca",c(-77.1298506006019, 38.7933562360872)
"NCAP-VA-CPL1",FALSE,FALSE,"naca",c(-77.0426887301531, 38.8644732336999)
"NCAP-VA-DAI1",TRUE,TRUE,"naca",c(-77.0386087405515, 38.8289536045913)
"NCAP-VA-DOK1",FALSE,TRUE,"naca",c(-77.1304964829323, 38.8328095617917)
"NCAP-VA-FMR1",TRUE,TRUE,"naca",c(-77.0577890803909, 38.8405829435448)
"NCAP-VA-FTW1",FALSE,TRUE,"naca",c(-77.0952257650689, 38.8101110140996)
"NCAP-VA-JDP1",TRUE,TRUE,"naca",c(-77.218662589984, 38.8763984587203)
"NCAP-VA-JPP1",FALSE,TRUE,"naca",c(-77.0420113923686, 38.7956457452736)
"NCAP-VA-LBJ1",FALSE,FALSE,"naca",c(-77.0542201276719, 38.8803092535189)
"NCAP-VA-LEE1",TRUE,TRUE,"naca",c(-77.108819387506, 38.7723832739962)
"NCAP-VA-LIC1",FALSE,TRUE,"naca",c(-77.1407275636181, 38.8405514633922)
"NCAP-VA-LOF1",FALSE,FALSE,"naca",c(-77.1056075691513, 38.7950572332245)
"NCAP-VA-MBL1",FALSE,FALSE,"naca",c(-77.1462663949911, 38.9289297741375)
"NCAP-VA-MCC1",FALSE,FALSE,"naca",c(-77.1854711703474, 38.9400953378329)
"NCAP-VA-MDP1",FALSE,TRUE,"naca",c(-77.1731067292372, 38.8320243287983)
"NCAP-VA-MHP1",FALSE,FALSE,"naca",c(-77.1573474776484, 38.90061381965)
"NCAP-VA-MON1",FALSE,FALSE,"naca",c(-77.0699521887038, 38.8337183213455)
"NCAP-VA-MTV1",TRUE,TRUE,"naca",c(-77.064774717343, 38.7721248337645)
"NCAP-VA-POT1",FALSE,FALSE,"naca",c(-77.1050462827695, 38.9123811375069)
"NCAP-VA-PRC1",FALSE,TRUE,"naca",c(-77.2117864376042, 38.8605810431995)
"NCAP-VA-RTP1",FALSE,FALSE,"naca",c(-77.1915862418983, 38.84861809179)
"NCAP-VA-TKY1",FALSE,FALSE,"naca",c(-77.1514976137744, 38.9646035049518)
"NCAP-VA-TRI1",FALSE,FALSE,"naca",c(-77.0614998593341, 38.894867678721)
"NCAP-VA-UPT1",FALSE,TRUE,"naca",c(-77.1419081854878, 38.8726062144348)
"NCAP-VA-WAR1",FALSE,FALSE,"naca",c(-77.1007501893218, 38.8303751098062)
