"Site","gentrifying","vulnerable","City","geometry"
"01_T01",FALSE,FALSE,"phaz",c(-111.555289037478, 33.5514724183389)
"02_T02",FALSE,FALSE,"phaz",c(-111.567674773556, 33.5494860958576)
"03_T03",FALSE,FALSE,"phaz",c(-111.580414652476, 33.5554429646496)
"04_T04",FALSE,FALSE,"phaz",c(-111.59115609788, 33.5492860148701)
"05_T05",FALSE,FALSE,"phaz",c(-111.602130804885, 33.5474743484911)
"06_T06",FALSE,FALSE,"phaz",c(-111.607850127364, 33.5566461672454)
"2_08_TONTO",FALSE,FALSE,"phaz",c(-111.607850127364, 33.5566461672454)
"07_T07",FALSE,FALSE,"phaz",c(-111.619650171873, 33.5571919644005)
"08_T08",FALSE,FALSE,"phaz",c(-111.630045475723, 33.5541631083021)
"09_T09",FALSE,TRUE,"phaz",c(-111.641080542985, 33.5503453874657)
"1_01_AF14",FALSE,FALSE,"phaz",c(-111.598927621661, 33.5375234512904)
"1_02_EME",TRUE,TRUE,"phaz",c(-112.310108066577, 33.3525673134826)
"1_03_EMW",FALSE,FALSE,"phaz",c(-112.374297100706, 33.3019088623576)
"1_04_J9",TRUE,TRUE,"phaz",c(-112.563204639811, 33.7077549312968)
"1_05_MCS",FALSE,FALSE,"phaz",c(-111.718804789123, 33.6444851953714)
"1_06_T21",FALSE,FALSE,"phaz",c(-112.13772971036, 33.3104333428613)
"1_07_UMP",FALSE,FALSE,"phaz",c(-111.606571951556, 33.4537856623396)
"1_08_V9",FALSE,FALSE,"phaz",c(-112.05077851791, 33.7451941528098)
"1_09_W19",FALSE,FALSE,"phaz",c(-111.999888339804, 33.3610451507546)
"1_10_GOAT",TRUE,TRUE,"phaz",c(-112.508269373974, 33.5716314822664)
"10_T10",FALSE,TRUE,"phaz",c(-111.652615119622, 33.5486255645266)
"11_T11",FALSE,TRUE,"phaz",c(-111.662726165265, 33.5453339112342)
"12_T12",FALSE,TRUE,"phaz",c(-111.670927704465, 33.5389581597304)
"13_T13",FALSE,TRUE,"phaz",c(-111.667892004685, 33.5293599310066)
"14_T14",FALSE,TRUE,"phaz",c(-111.674935595864, 33.519716116494)
"15_T15",FALSE,TRUE,"phaz",c(-111.684917688058, 33.5142587175179)
"16_V01",TRUE,TRUE,"phaz",c(-111.87523641732, 33.4367391288888)
"17_V02",TRUE,TRUE,"phaz",c(-111.891208310235, 33.4364269519113)
"19_V04",FALSE,TRUE,"phaz",c(-111.916431518689, 33.4391834098699)
"2_01_AF19",FALSE,FALSE,"phaz",c(-111.619029081296, 33.3578459550492)
"2_02_E12",TRUE,TRUE,"phaz",c(-112.777616400781, 33.6235149957831)
"2_03_EMP",FALSE,FALSE,"phaz",c(-112.371743946903, 33.3651593011679)
"2_04_I17",TRUE,TRUE,"phaz",c(-112.577537677327, 33.4409043485087)
"2_05_MCN",FALSE,FALSE,"phaz",c(-111.694744710821, 33.7247125638975)
"2_06_PWP",FALSE,FALSE,"phaz",c(-112.015795716402, 33.5649290956864)
"2_07_SMW",FALSE,FALSE,"phaz",c(-112.079494346517, 33.3397244460381)
"06_T06",FALSE,FALSE,"phaz",c(-111.610866114674, 33.5596528098105)
"2_08_TONTO",FALSE,FALSE,"phaz",c(-111.610866114674, 33.5596528098105)
"2_09_U13",TRUE,TRUE,"phaz",c(-112.083298707211, 33.5983579710954)
"2_10_WTM",TRUE,TRUE,"phaz",c(-112.498866272457, 33.606015331369)
"20_V05",FALSE,TRUE,"phaz",c(-111.924335786662, 33.429789786874)
"21_V06",TRUE,TRUE,"phaz",c(-111.946975457003, 33.4354364147637)
"22_V07",TRUE,TRUE,"phaz",c(-111.958881987194, 33.4352637510445)
"23_N01",TRUE,TRUE,"phaz",c(-111.981605049999, 33.4308018409369)
"24_N02",FALSE,FALSE,"phaz",c(-111.993346657842, 33.4266046079817)
"25_N03",TRUE,TRUE,"phaz",c(-112.006843740868, 33.4236366860839)
"26_V08",TRUE,TRUE,"phaz",c(-112.022187946824, 33.4168369731162)
"27_V09",TRUE,TRUE,"phaz",c(-112.033030270797, 33.4169455764552)
"28_V10",TRUE,TRUE,"phaz",c(-112.045948533907, 33.4170718212355)
"29_N04",TRUE,TRUE,"phaz",c(-112.057800848767, 33.4197582369737)
"3_01_AC16",TRUE,TRUE,"phaz",c(-111.717575295507, 33.4803413741777)
"3_02_AVE35",TRUE,TRUE,"phaz",c(-112.133371369539, 33.4101348118908)
"3_03_DBG",TRUE,TRUE,"phaz",c(-111.943055527611, 33.4559219393956)
"3_04_O17",TRUE,TRUE,"phaz",c(-112.339654670064, 33.4215166840562)
"3_05_R10",FALSE,FALSE,"phaz",c(-112.201933374073, 33.68898213943)
"3_06_S9",FALSE,FALSE,"phaz",c(-112.179569066057, 33.7174259498783)
"3_07_SME",FALSE,TRUE,"phaz",c(-111.986307081639, 33.37477295134)
"3_08_W18",FALSE,TRUE,"phaz",c(-111.999834784619, 33.3854878579708)
"3_09_X12",FALSE,FALSE,"phaz",c(-111.962129287791, 33.6295732573229)
"3_10_Y10",FALSE,FALSE,"phaz",c(-111.918869982308, 33.6728326081529)
"30_V11",TRUE,TRUE,"phaz",c(-112.068395886983, 33.4207226709402)
"31_V12",TRUE,TRUE,"phaz",c(-112.079376587136, 33.4198068616479)
"4_04_RIO",TRUE,TRUE,"phaz",c(-112.079376587136, 33.4198068616479)
"32_V13",TRUE,TRUE,"phaz",c(-112.089765868698, 33.4137543774556)
