"Site","gentrifying","vulnerable","City","geometry"
"BC_03",FALSE,FALSE,"scut",c(-111.76256, 40.62304)
"BC_07",FALSE,FALSE,"scut",c(-111.72723, 40.63565)
"BC_08",FALSE,FALSE,"scut",c(-111.71469, 40.63243)
"BC_10",FALSE,FALSE,"scut",c(-111.69379, 40.62894)
"BC_11",FALSE,FALSE,"scut",c(-111.68695, 40.62135)
"BC_12",FALSE,FALSE,"scut",c(-111.67922, 40.61111)
"BC_18.2019",FALSE,FALSE,"scut",c(-111.6508, 40.63898)
"BC_24.2019",FALSE,FALSE,"scut",c(-111.6336, 40.65134)
"BC_25",FALSE,FALSE,"scut",c(-111.6285, 40.6601)
"BC_26.2019",FALSE,FALSE,"scut",c(-111.6584, 40.6661)
"BC_28.2019",FALSE,FALSE,"scut",c(-111.63661, 40.63269)
"BC_33.2019",FALSE,FALSE,"scut",c(-111.61426, 40.62191)
"BC_34",FALSE,FALSE,"scut",c(-111.62067, 40.61339)
"BC_38.2019",FALSE,FALSE,"scut",c(-111.5694, 40.60884)
"BC_40.2019",FALSE,FALSE,"scut",c(-111.59772, 40.5959)
"BC_42.2019",FALSE,FALSE,"scut",c(-111.58072, 40.58248)
"Big Cottonwood Regional Park Wetlands.2019",FALSE,FALSE,"scut",c(-111.8621, 40.6812)
"Bonneville Golf Course.2019",FALSE,FALSE,"scut",c(-111.82602, 40.74598)
"CC_01",FALSE,FALSE,"scut",c(-111.87816, 40.79028)
"CC_05",FALSE,FALSE,"scut",c(-111.84598, 40.80946)
"CC_06.2019",FALSE,FALSE,"scut",c(-111.83475, 40.81452)
"CC_09",FALSE,FALSE,"scut",c(-111.80322, 40.82426)
"CC_11",FALSE,FALSE,"scut",c(-111.78076, 40.82702)
"CC_13.2019",FALSE,FALSE,"scut",c(-111.7619, 40.84031)
"CC_14.2019",FALSE,FALSE,"scut",c(-111.7484, 40.8336)
"Creekside Park.2019",FALSE,TRUE,"scut",c(-111.84863, 40.6656)
"Crestwood Park.2019",FALSE,FALSE,"scut",c(-111.84114, 40.61404)
"DC_01",FALSE,TRUE,"scut",c(-111.83017, 40.78442)
"DC_03.2019",FALSE,TRUE,"scut",c(-111.81991, 40.78883)
"DD_05.2019",FALSE,TRUE,"scut",c(-111.84956, 40.56102)
"DD_06.2019",FALSE,TRUE,"scut",c(-111.8599, 40.56486)
"DD_07.2019",TRUE,TRUE,"scut",c(-111.8706, 40.5692)
"EM_01",FALSE,TRUE,"scut",c(-111.80105, 40.75114)
"EM_04",FALSE,FALSE,"scut",c(-111.7537, 40.7694)
"EM_05",FALSE,FALSE,"scut",c(-111.74828, 40.77681)
"EM_08",FALSE,FALSE,"scut",c(-111.70087, 40.80789)
"General Holm Park N.2019",TRUE,TRUE,"scut",c(-111.92099, 40.68912)
"JR_02",TRUE,TRUE,"scut",c(-111.9418, 40.8149)
"JR_06.2019",TRUE,TRUE,"scut",c(-111.9362, 40.7895)
"JR_07",FALSE,TRUE,"scut",c(-111.91963, 40.74972)
"JR_08",TRUE,TRUE,"scut",c(-111.92445, 40.73713)
"JR_09",TRUE,TRUE,"scut",c(-111.9247, 40.72901)
"JR_12.2019",FALSE,FALSE,"scut",c(-111.90679, 40.55569)
"JR_13.2019",FALSE,FALSE,"scut",c(-111.91584, 40.55063)
"JRP_02",TRUE,TRUE,"scut",c(-111.91275, 40.59184)
"LC_02",FALSE,FALSE,"scut",c(-111.76409, 40.57186)
"LC_07",FALSE,FALSE,"scut",c(-111.7096, 40.5704)
"LC_09.2019",FALSE,FALSE,"scut",c(-111.69088, 40.57329)
"LC_12.2019",FALSE,FALSE,"scut",c(-111.67933, 40.54349)
"LC_14",FALSE,FALSE,"scut",c(-111.66931, 40.57762)
"LC_15",FALSE,FALSE,"scut",c(-111.66171, 40.56954)
"LC_16.2019",FALSE,FALSE,"scut",c(-111.65896, 40.58279)
"LC_18",FALSE,FALSE,"scut",c(-111.65088, 40.58828)
"LC_20",FALSE,FALSE,"scut",c(-111.62676, 40.5925)
"LC_22.2019",FALSE,FALSE,"scut",c(-111.61378, 40.57499)
