"Site","gentrifying","vulnerable","City","geometry"
"BGP1",FALSE,FALSE,"sewa",c(-122.28342, 47.66681)
"BRF1",TRUE,TRUE,"sewa",c(-122.24035, 47.47522)
"DOS1",FALSE,FALSE,"sewa",c(-121.96749, 47.74577)
"DRP2",FALSE,FALSE,"sewa",c(-122.36046, 47.64354)
"DSP1",FALSE,FALSE,"sewa",c(-122.41942, 47.6598)
"DWP1",TRUE,TRUE,"sewa",c(-122.32024, 47.53195)
"FGL1",TRUE,TRUE,"sewa",c(-122.26262, 47.48434)
"FRD1",FALSE,FALSE,"sewa",c(-122.00792, 47.75103)
"HCN1",TRUE,TRUE,"sewa",c(-122.30736, 47.51622)
"HFW1",FALSE,TRUE,"sewa",c(-122.19162, 47.70676)
"IRP1",FALSE,FALSE,"sewa",c(-122.28101, 47.69055)
"JBP1",FALSE,FALSE,"sewa",c(-122.203475, 47.695583)
"LTP1",FALSE,FALSE,"sewa",c(-122.39368, 47.65483)
"LWP2",FALSE,FALSE,"sewa",c(-122.34483, 47.66921)
"MBC1",FALSE,FALSE,"sewa",c(-122.08888, 47.70461)
"MGP1",FALSE,FALSE,"sewa",c(-122.25092, 47.68166)
"MPO1",FALSE,TRUE,"sewa",c(-122.11071, 47.44997)
"MSR1",TRUE,TRUE,"sewa",c(-122.3086, 47.54984)
"MWP1",TRUE,TRUE,"sewa",c(-122.3184906, 47.5609279)
"NRP1",FALSE,FALSE,"sewa",c(-122.17331, 47.68709)
"PGP2",TRUE,TRUE,"sewa",c(-122.35852, 47.55669)
"PHY1",FALSE,FALSE,"sewa",c(-122.3596, 47.6708)
"RHF1",FALSE,FALSE,"sewa",c(-122.01764, 47.7406)
"RVP1",FALSE,FALSE,"sewa",c(-122.311193, 47.673535)
"RWP1",FALSE,FALSE,"sewa",c(-122.043494, 47.711603)
"SVP1",FALSE,TRUE,"sewa",c(-122.15123, 47.70675)
"SWD1",FALSE,FALSE,"sewa",c(-122.10428, 47.71029)
"TCC1",FALSE,TRUE,"sewa",c(-122.17861, 47.46189)
"TMF1",FALSE,FALSE,"sewa",c(-121.94978, 47.42278)
"TMP1",TRUE,TRUE,"sewa",c(-122.35082, 47.56718)
"TRN1",FALSE,TRUE,"sewa",c(-122.04184, 47.42001)
"WCP2",FALSE,TRUE,"sewa",c(-122.33736, 47.52699)
"WDG1",FALSE,TRUE,"sewa",c(-122.34569, 47.54149)
