"Site","gentrifying","vulnerable","City","geometry"
"ASP",FALSE,FALSE,"wide",c(-75.55676579, 39.77226884)
"BCP",FALSE,FALSE,"wide",c(-75.5791061402935, 39.8005501852069)
"BKP",FALSE,TRUE,"wide",c(-75.70729688, 39.62260145)
"BNP",TRUE,TRUE,"wide",c(-75.64679939, 39.66584282)
"BNP3",TRUE,TRUE,"wide",c(-75.59370945, 39.71784486)
"BRG",FALSE,TRUE,"wide",c(-75.67967055, 39.64267904)
"CBP2",TRUE,TRUE,"wide",c(-75.5811187653831, 39.7356945847612)
"CMP",TRUE,TRUE,"wide",c(-75.59246985, 39.69568617)
"CWP",TRUE,TRUE,"wide",c(-75.63557948, 39.67806855)
"DEC",TRUE,TRUE,"wide",c(-75.56047329, 39.72260525)
"FLW",FALSE,FALSE,"wide",c(-75.61494333, 39.8227917)
"FZS",TRUE,TRUE,"wide",c(-75.62025684, 39.69752331)
"GLP2",FALSE,FALSE,"wide",c(-75.7300057775468, 39.6116036058827)
"JSC",FALSE,FALSE,"wide",c(-75.57799801, 39.81189933)
"LMC",FALSE,FALSE,"wide",c(-75.56655944, 39.79898131)
"LMR2",FALSE,TRUE,"wide",c(-75.6825518165705, 39.6619079783496)
"MAR",FALSE,FALSE,"wide",c(-75.59103335, 39.83201605)
"MRP",TRUE,TRUE,"wide",c(-75.52690427, 39.76853391)
"RPL3",FALSE,TRUE,"wide",c(-75.68651985, 39.63525036)
"RPW",TRUE,TRUE,"wide",c(-75.57465122, 39.72136462)
"RVC",TRUE,TRUE,"wide",c(-75.53187382, 39.75887043)
"SBP",FALSE,FALSE,"wide",c(-75.73731559, 39.59457307)
"SLP",TRUE,TRUE,"wide",c(-75.51742989, 39.76001693)
"SMP",FALSE,TRUE,"wide",c(-75.67441014, 39.6506387)
"SSL2",FALSE,FALSE,"wide",c(-75.73916774, 39.61870883)
"SSL3",FALSE,FALSE,"wide",c(-75.7224367735623, 39.6219766821641)
"WBC",TRUE,TRUE,"wide",c(-75.55163871, 39.75310181)
"WIDE-A08-GLP1",FALSE,FALSE,"wide",c(-75.7065622, 39.6133704)
"WIN2",FALSE,FALSE,"wide",c(-75.59646186, 39.80162457)
