"prop_gent","Site","City"
0,"ALIB","ahga"
0.355849439688472,"ARPT","ahga"
0.0378414080662197,"BARN","ahga"
0,"BBPK","ahga"
0,"BHVN","ahga"
0.0423647340459698,"BZOO","ahga"
0,"CSHS","ahga"
0,"CVMD","ahga"
0.0221658188215212,"DCKR","ahga"
0,"DUDP","ahga"
0,"DXBH","ahga"
0.00230652978961707,"FIRE","ahga"
0.019165877941044,"HALP","ahga"
0.0181404576473296,"LDFN","ahga"
0,"LDFS","ahga"
0,"MBRD","ahga"
0,"NDA1","ahga"
0.123118190052451,"NOWR","ahga"
0,"RDIO","ahga"
0,"RHDR","ahga"
0.131733259308012,"SEPK","ahga"
0.315130044829145,"STPK","ahga"
0,"UGACF","ahga"
0,"UGDF","ahga"
0.285743986678294,"UGLH","ahga"
0.0611066517160038,"UGRC","ahga"
0.170452156187041,"WARN","ahga"
0,"WSBS","ahga"
0.264994413429916,"AB","baca"
0,"BT","baca"
0,"CB","baca"
0.0757242259191323,"CR","baca"
0,"DK","baca"
0.309877829121045,"DY","baca"
0,"EN","baca"
0,"GT","baca"
0,"H18","baca"
0,"HBT","baca"
0,"HT","baca"
0,"MA","baca"
0,"MT","baca"
0.454274199948873,"MY","baca"
0,"PER","baca"
0.0132932430627693,"SFCA-001-GGP2","baca"
0,"SFCA-C01-BVA1","baca"
0.0636301900751963,"SFCA-C01-GGP3","baca"
0,"SFCA-C01-GGP4","baca"
0,"SFCA-C01-PRE1","baca"
0,"SFCA-C01-PRE2","baca"
0,"SFCA-C01-USF1","baca"
0,"SFCA-C02-DOU1","baca"
0.0563873989214532,"SFCA-C02-GLN1","baca"
0,"SFCA-C02-IGB1","baca"
0,"SFCA-C02-LGH1","baca"
0,"SFCA-C02-MTD1","baca"
0.259709037461939,"SFCA-C03-ALA1","baca"
0.0376649647771835,"SFCA-C03-BER1","baca"
0.19745160884008,"SFCA-C03-BVH1","baca"
0.110737362751726,"SFCA-C03-JMP1","baca"
0.103176868468623,"SFCA-C03-JMP2","baca"
0.0678557791261655,"SFCA-C03-JMP3","baca"
0.0917400674838224,"SFCA-D01-PIO1","baca"
0.00110366216779457,"SFCA-D01-POT1","baca"
0.076367262295223,"SFCA-D01-RUS1","baca"
0.09330012767709,"SFCA-O01-GGP1","baca"
0.00215373193250265,"SFCA-O01-LPK1","baca"
0,"SFCA-O01-LPK2","baca"
0.0700377142576143,"SFCA-O01-SUN1","baca"
0,"SFCA-O02-BRO1","baca"
0,"SFCA-O02-LKM1","baca"
0,"SFCA-O02-LKM2","baca"
0,"SFCA-O02-PLK1","baca"
0.21723752198157,"SFCA-O02-WSN1","baca"
0.000725775311651547,"WP","baca"
0,"ALN","boma"
0.255543445227657,"ARB1","boma"
0.359603983691461,"ARB2","boma"
0,"BDL","boma"
0,"BNC","boma"
0,"BRA","boma"
0,"BRD1","boma"
0,"BRD2","boma"
0.0578919231948051,"BRT","boma"
0,"BSU","boma"
0,"DAN","boma"
0,"EVR","boma"
0.38693213777383,"FRPO1","boma"
0.00855117611942997,"FRPO2","boma"
0.203659398609965,"FVW","boma"
0.197632945923699,"GLD","boma"
0,"GRT","boma"
0,"HAB","boma"
0.0969431765136404,"HAL","boma"
0.0859098077991515,"MTA","boma"
0,"MUS","boma"
0,"PKN","boma"
0.170488475640312,"SRN","boma"
0.344976613233053,"STN","boma"
0,"STR","boma"
0,"TKR","boma"
0.117402999244862,"ZNE","boma"
0.00393034271483896,"C04-MBP1","chil"
0,"C05-BMP1","chil"
0,"C05-BMP2","chil"
0.0624201384469462,"C05-SPA1","chil"
0.669783543347044,"C06-HMP1","chil"
0,"D02-BMT1","chil"
0.881939207505737,"D02-HUP0","chil"
0,"D02-JBS1","chil"
0.645795439122898,"D02-MOP1","chil"
0.491479334555112,"D02-RCP1","chil"
0.447598570456025,"D02-SCP1","chil"
0.12087035768988,"D03-AFP1","chil"
0.362204657140077,"D03-AMP1","chil"
0.353511229838272,"D03-CHP1","chil"
0.404737986580324,"D03-GOM1","chil"
0,"D03-NPV1","chil"
0.246974115039654,"D03-STB1","chil"
0.350396581114472,"D04-DNP1","chil"
0.00141792826839163,"D04-EDW0","chil"
0.0143974721454982,"D04-RDP1","chil"
0,"D04-ROS0","chil"
0,"D05-ADC2","chil"
0,"D05-BRP1","chil"
0.0201572541654952,"D05-MIA1","chil"
0,"D05-PRC1","chil"
0,"D06-KCG1","chil"
0,"D07-ASC0","chil"
0,"D07-NOC1","chil"
0,"D08-CCC1","chil"
0.525628160156414,"D08-DAW0","chil"
0.643744863977623,"D08-DAW2","chil"
0,"D09-CLG0","chil"
0,"D09-RYW1","chil"
0,"D09-VTC1","chil"
0,"D10-CAN0","chil"
0,"D10-MAC1","chil"
0,"D10-VHC1","chil"
0.615257715999291,"J01-BBS1","chil"
0.347474691055931,"J01-LMP1","chil"
0,"J01-NOR1","chil"
0.375455167539608,"J01-SEP1","chil"
0,"J01-SKP1","chil"
0.0844587843715103,"J01-UIC1","chil"
0.386266547033617,"R02-DPG1","chil"
0.255035850407049,"R02-FRP1","chil"
0.112849295627964,"R02-HRF1","chil"
0.0128871303919409,"R03-AUP1","chil"
0.22271019495361,"R03-CPG1","chil"
0.254012162181782,"R03-EUC1","chil"
0.588213420643199,"R03-MAP1","chil"
0.380288601116342,"R04-MMW0","chil"
0.791368461380465,"R04-MMW3","chil"
0.320571666542918,"R04-SCH1","chil"
0,"R05-FMG1","chil"
