"siteA","siteA_id","siteB","siteB_id","City_id"
"ahga-ALIB",1,"ahga-ARPT",2,1
"ahga-ALIB",1,"ahga-BARN",3,1
"ahga-ALIB",1,"ahga-BBPK",4,1
"ahga-ALIB",1,"ahga-BHVN",5,1
"ahga-ALIB",1,"ahga-BZOO",6,1
"ahga-ALIB",1,"ahga-CSHS",7,1
"ahga-ALIB",1,"ahga-CVMD",8,1
"ahga-ALIB",1,"ahga-DCKR",9,1
"ahga-ALIB",1,"ahga-DUDP",10,1
"ahga-ALIB",1,"ahga-DXBH",11,1
"ahga-ALIB",1,"ahga-FIRE",12,1
"ahga-ALIB",1,"ahga-HALP",13,1
"ahga-ALIB",1,"ahga-LDFN",14,1
"ahga-ALIB",1,"ahga-LDFS",15,1
"ahga-ALIB",1,"ahga-MBRD",16,1
"ahga-ALIB",1,"ahga-NDA1",17,1
"ahga-ALIB",1,"ahga-NOWR",18,1
"ahga-ALIB",1,"ahga-RDIO",19,1
"ahga-ALIB",1,"ahga-RHDR",20,1
"ahga-ALIB",1,"ahga-SEPK",21,1
"ahga-ALIB",1,"ahga-STPK",22,1
"ahga-ALIB",1,"ahga-UGACF",23,1
"ahga-ALIB",1,"ahga-UGDF",24,1
"ahga-ALIB",1,"ahga-UGLH",25,1
"ahga-ALIB",1,"ahga-UGRC",26,1
"ahga-ALIB",1,"ahga-WARN",27,1
"ahga-ALIB",1,"ahga-WSBS",28,1
"ahga-ARPT",2,"ahga-BARN",3,1
"ahga-ARPT",2,"ahga-BBPK",4,1
"ahga-ARPT",2,"ahga-BHVN",5,1
"ahga-ARPT",2,"ahga-BZOO",6,1
"ahga-ARPT",2,"ahga-CSHS",7,1
"ahga-ARPT",2,"ahga-CVMD",8,1
"ahga-ARPT",2,"ahga-DCKR",9,1
"ahga-ARPT",2,"ahga-DUDP",10,1
"ahga-ARPT",2,"ahga-DXBH",11,1
"ahga-ARPT",2,"ahga-FIRE",12,1
"ahga-ARPT",2,"ahga-HALP",13,1
"ahga-ARPT",2,"ahga-LDFN",14,1
"ahga-ARPT",2,"ahga-LDFS",15,1
"ahga-ARPT",2,"ahga-MBRD",16,1
"ahga-ARPT",2,"ahga-NDA1",17,1
"ahga-ARPT",2,"ahga-NOWR",18,1
"ahga-ARPT",2,"ahga-RDIO",19,1
"ahga-ARPT",2,"ahga-RHDR",20,1
"ahga-ARPT",2,"ahga-SEPK",21,1
"ahga-ARPT",2,"ahga-STPK",22,1
"ahga-ARPT",2,"ahga-UGACF",23,1
"ahga-ARPT",2,"ahga-UGDF",24,1
"ahga-ARPT",2,"ahga-UGLH",25,1
"ahga-ARPT",2,"ahga-UGRC",26,1
"ahga-ARPT",2,"ahga-WARN",27,1
