"siteA","siteB","","","","","",""
"ahga-ALIB","ahga-ARPT",0.999914987223778,0.232154474998388,0,0.0211678657338895,0.568719663041588,0.352818090929581
"ahga-ALIB","ahga-BARN",0.0715055632940466,0.000313619767542593,0,0,0.0118762400917746,0.0310952925188719
"ahga-ALIB","ahga-BBPK",0.717871536587886,0.0519848084872302,0,0.0927155360184632,0.684868379395321,0.352818090929581
"ahga-ALIB","ahga-BHVN",0.156052734154886,0.00156446841187514,0,0,0.0779427640454645,0.158167689339742
"ahga-ALIB","ahga-BZOO",0.431102007575028,0.0142823051258174,0,0.0352246741424193,0.601862180533917,0.352818090929581
"ahga-ALIB","ahga-CSHS",1,0.355057274797373,0.00654755107791756,0.0572132215994441,0.640051212133047,0.352818090929581
"ahga-ALIB","ahga-CVMD",0.984201870978203,0.180781128072006,0,0,0.260695973239304,0.317143247639258
"ahga-ALIB","ahga-DCKR",0.211481550929996,0.00296736122453582,0,0.0293361548975923,0.589175192258774,0.352818090929581
"ahga-ALIB","ahga-DUDP",0.756760097875025,0.0607445094881834,0,0,0.0457888274440096,0.165980970934596
"ahga-ALIB","ahga-DXBH",0.556633958003223,0.0264050241331556,0,0,0.268873958626746,0.320634238607153
"ahga-ALIB","ahga-FIRE",0.372278716974343,0.0102033625763784,0,0,0.202605757688264,0.285375868427918
"ahga-ALIB","ahga-HALP",0.351692203085963,0.00897654807609545,0,0,0.0871584046220272,0.647181909070419
"ahga-ALIB","ahga-LDFN",1,0.736519768796416,0.170200518792541,1,0.912841595377973,0.352818090929581
"ahga-ALIB","ahga-LDFS",1,0.747843021496766,0.180893049694383,0.811262577980383,0.908194642715649,0.352818090929581
"ahga-ALIB","ahga-MBRD",0.866830373974543,0.0953836678469712,0,0,0.13117736975022,0.225093116355573
"ahga-ALIB","ahga-NDA1",1,0.356789440694711,0.00674894957300078,0.342753039696295,0.8318516070668,0.352818090929581
"ahga-ALIB","ahga-NOWR",0.868406413916591,0.096035361739712,0,0,0.37876004970794,0.349064549997088
"ahga-ALIB","ahga-RDIO",0.965633872911713,0.156939346992673,0,0.695931578105348,0.899890179503287,0.352818090929581
"ahga-ALIB","ahga-RHDR",0.13345640363413,0.00112976890251141,0,0.0154334522352745,0.55138297720406,0.352818090929581
"ahga-ALIB","ahga-SEPK",1,0.519551162885377,0.0427397620927872,0.243278951355782,0.791810694287751,0.352818090929581
"ahga-ALIB","ahga-STPK",1,0.363433686093966,0.00755246099754487,0,0.173510921384453,0.264105960247095
"ahga-ALIB","ahga-UGACF",1,0.853252626604244,0.315384570520344,0.975603565430868,0.912770601749652,0.352818090929581
"ahga-ALIB","ahga-UGDF",1,0.808418133718673,0.24907737468122,0.846481634692341,0.909828741722499,0.352818090929581
"ahga-ALIB","ahga-UGLH",0.70389251600013,0.0491419356379606,0,0,0.332787564776661,0.340984693403078
"ahga-ALIB","ahga-UGRC",0.876153637766599,0.0993304870145589,0,0.0047242327292446,0.504119357882653,0.352818090929581
"ahga-ALIB","ahga-WARN",0.603108055381115,0.0323773471108853,0,0,0.0707772701109488,0.326126622911721
"ahga-ALIB","ahga-WSBS",0.973402539436158,0.165646835402442,0,0,0.00498045437904349,0.0141221496705817
"ahga-ARPT","ahga-BARN",1,0.239311106394945,3.40624116448101e-06,0.0211678657338895,0.556843422949813,0.321722798410709
