"Site","City","Season","gentrifying","mean_19","mu","sd"
"01_T01","phaz","JA21",FALSE,-0.265901713733278,6.6202,0.70512529394996
"01_T01","phaz","AP21",FALSE,-0.265901713733278,5.3859,0.602841216037171
"02_T02","phaz","JA21",FALSE,-0.261289121484384,5.5794,0.717179945834705
"02_T02","phaz","AP21",FALSE,-0.261289121484384,7.4819,0.65108738390338
"03_T03","phaz","JA21",FALSE,-0.261260531310346,10.3783,0.597682886222492
"03_T03","phaz","AP21",FALSE,-0.261260531310346,8.355,0.582931368943283
"03_T03","phaz","JU21",FALSE,-0.261260531310346,6.3712,0.59367146182081
"03_T03","phaz","OC21",FALSE,-0.261260531310346,8.5309,0.665950102450548
"04_T04","phaz","JA21",FALSE,-0.266057452902293,9.4207,0.635729443389654
"04_T04","phaz","AP21",FALSE,-0.266057452902293,6.4942,0.672318050595189
"04_T04","phaz","JU21",FALSE,-0.266057452902293,9.4107,0.62391059972054
"04_T04","phaz","OC21",FALSE,-0.266057452902293,3.407,0.62336976104548
"05_T05","phaz","JA21",FALSE,-0.263698110114115,8.3195,0.555023022095035
"05_T05","phaz","AP21",FALSE,-0.263698110114115,7.4679,0.638600321826652
"05_T05","phaz","JU21",FALSE,-0.263698110114115,9.3752,0.591489599227746
"05_T05","phaz","OC21",FALSE,-0.263698110114115,4.556,0.724787231988233
"06_T06","phaz","JA21",FALSE,-0.267049648553991,2.5567,0.710377064351993
"06_T06","phaz","AP21",FALSE,-0.267049648553991,3.4622,0.665293485269587
"07_T07","phaz","JA21",FALSE,-0.267080273799616,3.4966,0.662746077495992
"07_T07","phaz","AP21",FALSE,-0.267080273799616,9.2747,0.512704785056334
"08_T08","phaz","JA21",FALSE,-0.268138161873957,7.6853,1.18996029788857
"09_T09","phaz","JA21",FALSE,-0.267408914846233,10.2993,0.53567546594975
"09_T09","phaz","AP21",FALSE,-0.267408914846233,6.4544,0.648662251307741
"09_T09","phaz","OC21",FALSE,-0.267408914846233,7.4105,0.619700050682007
"1_01_AF14","phaz","AP19",FALSE,-0.267943623012286,8.4964,0.665605996918833
"1_01_AF14","phaz","JU19",FALSE,-0.267943623012286,6.4394,0.622066183483448
"1_01_AF14","phaz","OC19",FALSE,-0.267943623012286,5.4137,0.624332675045054
"1_01_AF14","phaz","JA20",FALSE,-0.267943623012286,6.5429,0.712608146906211
"1_01_AF14","phaz","AP20",FALSE,-0.267943623012286,5.5096,0.681288672609154
"1_01_AF14","phaz","JU20",FALSE,-0.267943623012286,7.4924,0.6880331234453
"1_02_EME","phaz","AP19",TRUE,-0.268808456918357,8.4226,0.630276895416998
"1_02_EME","phaz","JU19",TRUE,-0.268808456918357,7.3214,0.558688869877799
"1_02_EME","phaz","OC19",TRUE,-0.268808456918357,6.5146,0.701024952193829
"1_02_EME","phaz","JA20",TRUE,-0.268808456918357,5.4665,0.665072914948594
"1_02_EME","phaz","AP20",TRUE,-0.268808456918357,9.3838,0.609536474274794
"1_02_EME","phaz","JU20",TRUE,-0.268808456918357,9.5729,0.663422642785348
"1_03_EMW","phaz","AP19",FALSE,-0.268808456918357,7.4515,0.639756734132504
"1_03_EMW","phaz","JU19",FALSE,-0.268808456918357,8.3607,0.586028884087891
"1_03_EMW","phaz","OC19",FALSE,-0.268808456918357,9.4537,0.656733918679395
"1_03_EMW","phaz","JA20",FALSE,-0.268808456918357,5.605,0.721960610222103
"1_03_EMW","phaz","AP20",FALSE,-0.268808456918357,7.2723,0.50870284829042
"1_03_EMW","phaz","JU20",FALSE,-0.268808456918357,5.4343,0.640565798692254
"1_04_J9","phaz","AP19",TRUE,-0.268808456918357,6.3826,0.604031228805711
"1_04_J9","phaz","JU19",TRUE,-0.268808456918357,7.543,0.703989034045279
"1_04_J9","phaz","OC19",TRUE,-0.268808456918357,1.5081,0.688899011600988
"1_04_J9","phaz","JA20",TRUE,-0.268808456918357,8.3521,0.579619863288511
"1_04_J9","phaz","AP20",TRUE,-0.268808456918357,5.2765,0.515436045918156
"1_04_J9","phaz","JU20",TRUE,-0.268808456918357,7.5279,0.673102441452762
"1_05_MCS","phaz","AP19",FALSE,-0.268808456918357,3.4368,0.645172368238499
"1_05_MCS","phaz","JU19",FALSE,-0.268808456918357,10.3313,0.554771202486855
"1_05_MCS","phaz","OC19",FALSE,-0.268808456918357,7.4228,0.622799283794377
"1_05_MCS","phaz","JA20",FALSE,-0.268808456918357,10.4611,0.646783288947918
"1_05_MCS","phaz","AP20",FALSE,-0.268808456918357,2.4408,0.646480590362442
"1_06_T21","phaz","JA19",FALSE,-0.266117693866148,9.2786,0.518660718479903
"1_06_T21","phaz","AP19",FALSE,-0.266117693866148,1.4729,0.666415786877907
"1_06_T21","phaz","JU19",FALSE,-0.266117693866148,8.4599,0.63971314922497
"1_06_T21","phaz","OC19",FALSE,-0.266117693866148,8.4068,0.619638729596143
"1_06_T21","phaz","JA20",FALSE,-0.266117693866148,8.397,0.606982572059757
"1_06_T21","phaz","AP20",FALSE,-0.266117693866148,8.3842,0.598854091262857
"1_06_T21","phaz","JU20",FALSE,-0.266117693866148,5.5736,0.721966178928315
"1_07_UMP","phaz","AP19",FALSE,-0.246635667021686,2.3984,0.609355866023415
"1_07_UMP","phaz","JU19",FALSE,-0.246635667021686,7.4096,0.60915100467343
"1_07_UMP","phaz","OC19",FALSE,-0.246635667021686,3.4962,0.674856357390453
"1_07_UMP","phaz","JA20",FALSE,-0.246635667021686,6.494,0.660460158345737
"1_07_UMP","phaz","AP20",FALSE,-0.246635667021686,2.4635,0.662202084835223
"1_07_UMP","phaz","JU20",FALSE,-0.246635667021686,7.3007,0.534516679635052
"1_08_V9","phaz","AP19",FALSE,-0.268808456918357,7.3767,0.591804134163763
"1_08_V9","phaz","JU19",FALSE,-0.268808456918357,10.4933,0.678970699015069
"1_08_V9","phaz","OC19",FALSE,-0.268808456918357,5.4916,0.684672416292466
"1_08_V9","phaz","JA20",FALSE,-0.268808456918357,7.3761,0.587097315890503
"1_08_V9","phaz","AP20",FALSE,-0.268808456918357,9.4013,0.591517792910689
"1_08_V9","phaz","JU20",FALSE,-0.268808456918357,8.2394,0.479072636516746
"1_09_W19","phaz","AP19",FALSE,-0.258307024253601,5.4483,0.643714647071733
"1_09_W19","phaz","JU19",FALSE,-0.258307024253601,9.3378,0.56295901474728
"1_09_W19","phaz","OC19",FALSE,-0.258307024253601,6.4864,0.669522117623159
"1_09_W19","phaz","JA20",FALSE,-0.258307024253601,3.5704,0.69245345632679
"1_09_W19","phaz","AP20",FALSE,-0.258307024253601,8.3805,0.602126237263051
"1_09_W19","phaz","JU20",FALSE,-0.258307024253601,2.3775,0.594667228718122
"1_10_GOAT","phaz","AP19",TRUE,-0.266112181846724,10.2756,0.510363289303518
"1_10_GOAT","phaz","JU19",TRUE,-0.266112181846724,5.4843,0.667081711487416
"1_10_GOAT","phaz","OC19",TRUE,-0.266112181846724,10.4681,0.631998680562882
"1_10_GOAT","phaz","JA20",TRUE,-0.266112181846724,2.1707,0.991090175500493
"1_10_GOAT","phaz","AP20",TRUE,-0.266112181846724,7.8051,0.854509806088186
"1_10_GOAT","phaz","JU20",TRUE,-0.266112181846724,7.4002,0.62054691027092
"10_T10","phaz","JA21",FALSE,-0.266184708706626,7.4057,0.617207910319089
"10_T10","phaz","AP21",FALSE,-0.266184708706626,3.4768,0.675209116300331
"10_T10","phaz","OC21",FALSE,-0.266184708706626,6.7086,0.791295554685786
"11_T11","phaz","JA21",FALSE,-0.250689361584833,7.7936,0.83622303657379
"11_T11","phaz","AP21",FALSE,-0.250689361584833,4.6604,0.786214762876745
"11_T11","phaz","OC21",FALSE,-0.250689361584833,8.4521,0.645404713900102
"12_T12","phaz","JA21",FALSE,-0.261443960216321,6.2427,0.485819217437107
"12_T12","phaz","AP21",FALSE,-0.261443960216321,0.4636,0.64785570283912
"13_T13","phaz","JA21",FALSE,-0.265295562935549,4.4543,0.654487849722624
"13_T13","phaz","AP21",FALSE,-0.265295562935549,2.7083,0.82551756972568
"13_T13","phaz","OC21",FALSE,-0.265295562935549,4.4092,0.601823544868357
"14_T14","phaz","JA21",FALSE,-0.260730542280717,2.3425,0.569408616563941
"14_T14","phaz","AP21",FALSE,-0.260730542280717,2.3242,0.552562116407964
"14_T14","phaz","JU21",FALSE,-0.260730542280717,5.4225,0.605334942853379
"15_T15","phaz","JA21",FALSE,-0.247477984815353,5.5169,0.688158227571696
"15_T15","phaz","AP21",FALSE,-0.247477984815353,2.4251,0.62227703868236
"15_T15","phaz","OC21",FALSE,-0.247477984815353,1.3462,0.576696469454936
"16_V01","phaz","AP21",TRUE,0.0621723288573811,5.3646,0.59304469494383
"17_V02","phaz","JA21",TRUE,0.02310448695335,7.4086,0.628876449359376
"17_V02","phaz","AP21",TRUE,0.02310448695335,7.4509,0.641895936300662
"19_V04","phaz","JA21",FALSE,0.222388222154074,7.3634,0.581011357393074
"19_V04","phaz","AP21",FALSE,0.222388222154074,7.2197,0.460275021383445
"2_01_AF19","phaz","JA19",FALSE,0.025296020693583,7.4725,0.66714935271338
"2_01_AF19","phaz","AP19",FALSE,0.025296020693583,6.56,0.727360230759511
"2_01_AF19","phaz","JU19",FALSE,0.025296020693583,7.4101,0.618672987632855
"2_01_AF19","phaz","OC19",FALSE,0.025296020693583,0.4102,0.621590377547582
"2_02_E12","phaz","AP19",TRUE,-0.268808456918357,6.5934,0.746546832568006
"2_02_E12","phaz","JU19",TRUE,-0.268808456918357,6.5047,0.683245631130742
"2_02_E12","phaz","OC19",TRUE,-0.268808456918357,2.6159,0.754866989884471
"2_02_E12","phaz","JA20",TRUE,-0.268808456918357,8.5608,0.713830733039383
"2_02_E12","phaz","AP20",TRUE,-0.268808456918357,5.5796,0.641174664576704
"2_02_E12","phaz","JU20",TRUE,-0.268808456918357,3.7142,0.796982984879739
"2_03_EMP","phaz","JA19",FALSE,-0.260191222449419,3.5179,0.679356859518072
"2_03_EMP","phaz","AP19",FALSE,-0.260191222449419,6.3878,0.599872607071261
"2_03_EMP","phaz","JU19",FALSE,-0.260191222449419,4.5583,0.720730917406441
"2_03_EMP","phaz","OC19",FALSE,-0.260191222449419,7.4133,0.599599084310667
"2_03_EMP","phaz","JA20",FALSE,-0.260191222449419,6.3241,0.544140422023477
"2_03_EMP","phaz","AP20",FALSE,-0.260191222449419,2.3568,0.580454522547008
"2_03_EMP","phaz","JU20",FALSE,-0.260191222449419,7.4686,0.639261218509733
"2_04_I17","phaz","JA19",TRUE,-0.170488021263442,8.4644,0.645580604906733
"2_04_I17","phaz","AP19",TRUE,-0.170488021263442,3.3414,0.552880283298985
"2_04_I17","phaz","JU19",TRUE,-0.170488021263442,5.3155,0.541099832658346
"2_04_I17","phaz","OC19",TRUE,-0.170488021263442,1.4527,0.653150342981655
"2_04_I17","phaz","JA20",TRUE,-0.170488021263442,2.3252,0.560960272784771
"2_04_I17","phaz","AP20",TRUE,-0.170488021263442,3.3211,0.543161387093415
"2_04_I17","phaz","JU20",TRUE,-0.170488021263442,4.6047,0.739927468922412
"2_05_MCN","phaz","AP19",FALSE,-0.263752630980768,5.7372,0.735520400142581
"2_05_MCN","phaz","JU19",FALSE,-0.263752630980768,4.3778,1.06648061308671
"2_05_MCN","phaz","OC19",FALSE,-0.263752630980768,2.5344,0.718239672270115
"2_05_MCN","phaz","JA20",FALSE,-0.263752630980768,6.296,0.528972571309817
"2_05_MCN","phaz","AP20",FALSE,-0.263752630980768,5.2099,0.454161442949119
"2_05_MCN","phaz","JU20",FALSE,-0.263752630980768,5.8908,0.864725468003286
"2_06_PWP","phaz","AP19",FALSE,-0.104894668736798,8.4964,0.675894017781136
"2_06_PWP","phaz","JU19",FALSE,-0.104894668736798,6.4543,1.09819493406741
"2_06_PWP","phaz","OC19",FALSE,-0.104894668736798,6.5918,0.74968590949563
"2_06_PWP","phaz","JA20",FALSE,-0.104894668736798,6.3868,0.572729047505176
"2_06_PWP","phaz","AP20",FALSE,-0.104894668736798,7.4325,0.639753607623941
"2_06_PWP","phaz","JU20",FALSE,-0.104894668736798,0.8363,0.872684632525854
"2_07_SMW","phaz","AP19",FALSE,-0.256626951049476,4.3188,0.549724276049337
"2_07_SMW","phaz","JU19",FALSE,-0.256626951049476,7.3972,0.60420912511041
"2_07_SMW","phaz","OC19",FALSE,-0.256626951049476,8.4347,0.634961595392007
"2_07_SMW","phaz","JA20",FALSE,-0.256626951049476,3.3207,0.549801544353794
"2_07_SMW","phaz","AP20",FALSE,-0.256626951049476,6.3896,0.600706188408676
"2_08_TONTO","phaz","AP19",FALSE,-0.26717808442552,2.3548,0.570218795680653
"2_08_TONTO","phaz","JU19",FALSE,-0.26717808442552,3.364,0.581324172712075
"2_08_TONTO","phaz","OC19",FALSE,-0.26717808442552,2.3246,0.549786382612966
"2_08_TONTO","phaz","JA20",FALSE,-0.26717808442552,2.375,0.582416449709389
"2_08_TONTO","phaz","AP20",FALSE,-0.26717808442552,4.3578,0.579148255000502
"2_08_TONTO","phaz","JU20",FALSE,-0.26717808442552,5.3712,0.591477425228094
"2_09_U13","phaz","JA19",TRUE,-0.13846709145651,5.342,0.573470911981322
"2_09_U13","phaz","AP19",TRUE,-0.13846709145651,7.3496,0.569220731548072
"2_09_U13","phaz","JU19",TRUE,-0.13846709145651,5.4251,0.631846431493681
"2_09_U13","phaz","OC19",TRUE,-0.13846709145651,6.5188,0.650913918189563
"2_09_U13","phaz","JA20",TRUE,-0.13846709145651,3.9923,0.92223953644173
"2_09_U13","phaz","AP20",TRUE,-0.13846709145651,5.5844,0.738194508996993
"2_09_U13","phaz","JU20",TRUE,-0.13846709145651,6.6282,0.743787659220157
"2_10_WTM","phaz","AP19",TRUE,-0.266532337515372,4.6088,0.723335939580047
"2_10_WTM","phaz","JU19",TRUE,-0.266532337515372,3.5922,0.746160060230745
"2_10_WTM","phaz","OC19",TRUE,-0.266532337515372,2.3305,0.551452772244371
"2_10_WTM","phaz","JA20",TRUE,-0.266532337515372,5.9577,0.924119099256671
"2_10_WTM","phaz","AP20",TRUE,-0.266532337515372,7.5769,0.721206214504828
"2_10_WTM","phaz","JU20",TRUE,-0.266532337515372,3.3779,0.572996005607582
