"Site","City","gentrifying","mean_19","mu","sd"
"ALIB","ahga",FALSE,0.146713538750464,5.7387,0.833361721688678
"ARPT","ahga",TRUE,-0.0320274181094335,6.6709,1.1661600160005
"BARN","ahga",FALSE,0.140099391637292,3.2044,1.00464997494511
"BBPK","ahga",FALSE,-0.0670329099801475,4.0063,0.944430783567803
"BHVN","ahga",FALSE,0.108974914463433,8.9768,0.929272895769311
"BZOO","ahga",FALSE,-0.0413160811420765,8.5707,0.734748593431491
"CSHS","ahga",FALSE,-0.0526566126351915,8.7957,0.835482682723773
"CVMD","ahga",FALSE,0.0466553328279015,5.9203,0.890969860730021
"DCKR","ahga",FALSE,-0.0377044997655705,6.6403,0.770568158911821
"DUDP","ahga",FALSE,0.177906689004387,4.7525,0.836249772118436
"DXBH","ahga",FALSE,0.0443140295231705,5.004,0.926428533122064
"FIRE","ahga",FALSE,0.0641469485365485,9.6025,0.750433251533073
"HALP","ahga",FALSE,0.246996014190627,4.9125,0.868745775196744
"LDFN","ahga",FALSE,-0.220155684836913,10.748,0.816677841177062
"LDFS","ahga",FALSE,-0.198294081906384,10.7229,0.812269393832376
"MBRD","ahga",FALSE,0.0882755736781065,8.6526,0.780624222925309
"NDA1","ahga",FALSE,-0.128888733027087,7.9778,0.92379245464007
"NOWR","ahga",FALSE,0.0151362627139085,8.829,0.854653171294836
"RDIO","ahga",FALSE,-0.183658740745526,8.6981,0.807106890165866
"RHDR","ahga",FALSE,-0.0273467436121645,7.9866,0.932795503175843
"SEPK","ahga",FALSE,-0.108586050133716,7.8121,0.860852889156839
"STPK","ahga",TRUE,0.0735695482232345,10.0105,0.937057926574326
"UGACF","ahga",FALSE,-0.217453546593665,8.6217,1.34765378605661
"UGDF","ahga",FALSE,-0.202552676433199,8.8637,0.885099231761618
"UGLH","ahga",TRUE,0.0268721549058715,10.1092,0.983754104039074
"UGRC","ahga",FALSE,-0.0151282343063675,2.9118,0.901832628711681
"WARN","ahga",TRUE,0.203520733163857,8.9466,0.918603735721953
"WSBS","ahga",FALSE,0.149620881608639,9.8271,0.817968518495501
"AB","baca",TRUE,0.250541323221692,7.3849,1.47342087907994
"BT","baca",FALSE,-0.44694851967188,7.1971,1.44867575949403
"CB","baca",FALSE,-0.206293291986469,9.8813,1.22022916123185
"CR","baca",FALSE,-0.164749591080401,9.5335,1.11973350861401
"DK","baca",FALSE,-0.0418368752316391,3.4568,1.10637071798587
"DY","baca",TRUE,-0.0644027868384981,8.8301,1.41358898318477
"EN","baca",FALSE,0.126845538744413,6.1757,0.995353496431437
"GT","baca",FALSE,-0.38487504528078,6.9487,1.42838101962807
"H18","baca",FALSE,-0.381229077066501,7.7169,1.40091064849422
"HBT","baca",FALSE,-0.449429869214362,6.7188,1.52543739823226
"HT","baca",FALSE,-0.421143973424912,9.1504,1.27284793050286
"MA","baca",FALSE,0.266384420252625,8.264,1.03073286598619
"MT","baca",FALSE,-0.413693975580284,8.0706,1.23813122765468
"MY","baca",TRUE,0.264602658847946,2.1585,1.28052400374707
"PER","baca",FALSE,0.0342902484151569,7.041,0.958754880609277
"SFCA-001-GGP2","baca",FALSE,-0.0386106927019881,5.341,1.02753325126647
"SFCA-C01-BVA1","baca",FALSE,0.255683205894402,3.9472,0.847988247799957
"SFCA-C01-GGP3","baca",FALSE,0.0406645109244479,5.4257,1.02410174711248
"SFCA-C01-GGP4","baca",FALSE,0.0558178722776279,6.7497,1.14051742117286
"SFCA-C01-PRE1","baca",FALSE,-0.289945696261742,4.7328,1.21241542184002
"SFCA-C01-PRE2","baca",FALSE,-0.0581810163914761,6.3403,1.03846220459631
"SFCA-C01-USF1","baca",FALSE,0.269528715848673,3.5112,1.00128658109542
"SFCA-C02-DOU1","baca",FALSE,0.139386876701078,5.2172,0.936756057461663
"SFCA-C02-GLN1","baca",FALSE,0.103346782169429,5.4376,1.01351317746544
"SFCA-C02-IGB1","baca",FALSE,0.0717003937675989,5.4376,1.02391947003078
"SFCA-C02-LGH1","baca",FALSE,0.0381817691257649,5.4465,1.03587888022947
"SFCA-C02-MTD1","baca",FALSE,0.0919178431734219,5.4022,1.00206565331687
"SFCA-C03-ALA1","baca",TRUE,0.303785132217073,5.5152,1.07120665997315
"SFCA-C03-BER1","baca",FALSE,0.325394324776759,4.5346,1.01296863255732
"SFCA-C03-BVH1","baca",TRUE,0.0907919760625849,5.1421,1.241797808091
"SFCA-C03-JMP1","baca",TRUE,0.0540556946271979,5.2686,1.28234881442148
"SFCA-C03-JMP2","baca",FALSE,0.119458970085683,4.3271,0.972111151056813
"SFCA-C03-JMP3","baca",TRUE,0.0421158665469689,3.7111,1.13787796649143
"SFCA-D01-PIO1","baca",TRUE,0.145086449054876,3.6523,1.12442480545135
"SFCA-D01-POT1","baca",FALSE,0.356810547036083,4.5192,1.00166446136883
"SFCA-D01-RUS1","baca",FALSE,0.295330766260436,2.5034,0.99984419228242
"SFCA-O01-GGP1","baca",FALSE,0.00416413778173685,4.3976,1.03606060737691
"SFCA-O01-LPK1","baca",FALSE,-0.0261172651398962,7.0638,1.26534172023485
"SFCA-O01-LPK2","baca",FALSE,-0.156018396956462,4.2623,1.04230866384918
"SFCA-O01-SUN1","baca",FALSE,0.107335089274044,3.2247,0.969795834387857
"SFCA-O02-BRO1","baca",FALSE,-0.207394162106327,5.3363,1.06259833498936
