"Site","City","gentrifying","mean_19","mu","sd"
"ALIB","ahga",FALSE,0.146713538750464,5.8354,0.884117171326588
"ARPT","ahga",TRUE,-0.0320274181094335,6.5556,1.15843732476431
"BARN","ahga",FALSE,0.140099391637292,3.5172,1.06748867273301
"BBPK","ahga",FALSE,-0.0670329099801475,4.1488,1.0206208372254
"BHVN","ahga",FALSE,0.108974914463433,9.0934,1.00183690061561
"BZOO","ahga",FALSE,-0.0413160811420765,8.7892,0.849062742975042
"CSHS","ahga",FALSE,-0.0526566126351915,8.9812,0.932641691168061
"CVMD","ahga",FALSE,0.0466553328279015,6.177,0.980542346183239
"DCKR","ahga",FALSE,-0.0377044997655705,6.8406,0.880764888808513
"DUDP","ahga",FALSE,0.177906689004387,4.8436,0.907140353376557
"DXBH","ahga",FALSE,0.0443140295231705,5.2712,1.01718114979501
"FIRE","ahga",FALSE,0.0641469485365485,9.75,0.843826053450411
"HALP","ahga",FALSE,0.246996014190627,5.2248,0.894888331036339
"LDFN","ahga",FALSE,-0.220155684836913,10.9298,0.902127888353635
"LDFS","ahga",FALSE,-0.198294081906384,10.9046,0.897585634908669
"MBRD","ahga",FALSE,0.0882755736781065,8.7854,0.853869228003742
"NDA1","ahga",FALSE,-0.128888733027087,8.1558,1.02495681240404
"NOWR","ahga",FALSE,0.0151362627139085,9.0486,0.94170876765623
"RDIO","ahga",FALSE,-0.183658740745526,9.0068,0.939004848774065
"RHDR","ahga",FALSE,-0.0273467436121645,8.1904,1.01466928146571
"SEPK","ahga",FALSE,-0.108586050133716,7.9498,0.925770689897911
"STPK","ahga",TRUE,0.0735695482232345,9.8848,0.885937885625983
"UGACF","ahga",FALSE,-0.217453546593665,8.9338,1.4363252298951
"UGDF","ahga",FALSE,-0.202552676433199,9.0258,0.950007822584948
"UGLH","ahga",TRUE,0.0268721549058715,10.0142,0.955290990314069
"UGRC","ahga",FALSE,-0.0151282343063675,3.0912,0.988067718105957
"WARN","ahga",TRUE,0.203520733163857,8.8552,0.887462944632405
"WSBS","ahga",FALSE,0.149620881608639,10.1376,0.856044860133225
"AB","baca",TRUE,0.250541323221692,7.0256,1.43504582202181
"BT","baca",FALSE,-0.44694851967188,7.9368,1.55476339609716
"CB","baca",FALSE,-0.206293291986469,10.3612,1.32283201386547
"CR","baca",FALSE,-0.164749591080401,9.9242,1.21406307489766
"DK","baca",FALSE,-0.0418368752316391,3.7172,1.19545388116665
"DY","baca",TRUE,-0.0644027868384981,8.4786,1.34963192807086
"EN","baca",FALSE,0.126845538744413,6.309,1.05458116249327
"GT","baca",FALSE,-0.38487504528078,7.66,1.52815805904058
"H18","baca",FALSE,-0.381229077066501,8.3772,1.48018862030159
"HBT","baca",FALSE,-0.449429869214362,7.5458,1.61568079919549
"HT","baca",FALSE,-0.421143973424912,9.8286,1.37229686283105
"MA","baca",FALSE,0.266384420252625,8.269,1.04348300003128
"MT","baca",FALSE,-0.413693975580284,8.7256,1.36962761945107
"MY","baca",TRUE,0.264602658847946,2.1066,1.24416479182054
"PER","baca",FALSE,0.0342902484151569,7.2506,1.03383432071127
"SFCA-001-GGP2","baca",FALSE,-0.0386106927019881,5.5586,1.11194124065282
"SFCA-C01-BVA1","baca",FALSE,0.255683205894402,3.9434,0.84329038162044
"SFCA-C01-GGP3","baca",FALSE,0.0406645109244479,5.5568,1.07228900989619
"SFCA-C01-GGP4","baca",FALSE,0.0558178722776279,6.8986,1.18346869820538
"SFCA-C01-PRE1","baca",FALSE,-0.289945696261742,5.2166,1.31317528375506
"SFCA-C01-PRE2","baca",FALSE,-0.0581810163914761,6.588,1.15365600784501
"SFCA-C01-USF1","baca",FALSE,0.269528715848673,3.5388,1.03281552156245
"SFCA-C02-DOU1","baca",FALSE,0.139386876701078,5.2774,0.966765828540421
"SFCA-C02-GLN1","baca",FALSE,0.103346782169429,5.5288,1.03681510266364
"SFCA-C02-IGB1","baca",FALSE,0.0717003937675989,5.5838,1.07907851525661
"SFCA-C02-LGH1","baca",FALSE,0.0381817691257649,5.5924,1.10131958166746
"SFCA-C02-MTD1","baca",FALSE,0.0919178431734219,5.4992,1.04221715746799
"SFCA-C03-ALA1","baca",TRUE,0.303785132217073,5.347,0.984675031156674
"SFCA-C03-BER1","baca",FALSE,0.325394324776759,4.5106,1.03580993451699
"SFCA-C03-BVH1","baca",TRUE,0.0907919760625849,4.8376,1.15199464336067
"SFCA-C03-JMP1","baca",TRUE,0.0540556946271979,4.9628,1.20370508896001
"SFCA-C03-JMP2","baca",FALSE,0.119458970085683,4.4086,1.01796526986834
"SFCA-C03-JMP3","baca",TRUE,0.0421158665469689,3.5056,1.10987161554866
"SFCA-D01-PIO1","baca",TRUE,0.145086449054876,3.3992,1.04329145084693
"SFCA-D01-POT1","baca",FALSE,0.356810547036083,4.4904,1.02845485261959
"SFCA-D01-RUS1","baca",FALSE,0.295330766260436,2.526,1.02427234013487
"SFCA-O01-GGP1","baca",FALSE,0.00416413778173685,4.5828,1.11686778032484
"SFCA-O01-LPK1","baca",FALSE,-0.0261172651398962,7.2854,1.35289057302522
"SFCA-O01-LPK2","baca",FALSE,-0.156018396956462,4.6106,1.14018754840119
"SFCA-O01-SUN1","baca",FALSE,0.107335089274044,3.2914,1.02092825355153
"SFCA-O02-BRO1","baca",FALSE,-0.207394162106327,5.7514,1.20494332550686
"SFCA-O02-LKM1","baca",FALSE,-0.0610399177599051,3.6494,1.15392631878723
"SFCA-O02-LKM2","baca",FALSE,-0.303751697035236,4.1018,1.29389782993823
"SFCA-O02-PLK1","baca",FALSE,0.183906997591601,5.46,1.00269690346387
"SFCA-O02-WSN1","baca",TRUE,0.298893875470049,3.7886,1.1009779609484
"WP","baca",FALSE,-0.220360136420607,10.0182,1.22563012113719
"ALN","boma",FALSE,0.0240713569166016,7.1228,1.29802046648976
"ARB1","boma",TRUE,0.0789007045468846,9.8064,1.2079780139458
"ARB2","boma",TRUE,0.179355342541917,8.7268,1.2008539336797
"BDL","boma",FALSE,-0.103024706095694,7.008,1.29964372608917
"BNC","boma",FALSE,0.0432377364900056,8.7312,1.19884694886435
"BRA","boma",FALSE,-0.0587385326727374,10.6516,1.18054910073061
"BRD1","boma",FALSE,-0.279828395774524,8.694,1.66952731762402
"BRD2","boma",FALSE,-0.210574147196296,11.8308,1.18323766432364
"BRT","boma",FALSE,0.29822493563546,7.3558,1.07286372261973
"BSU","boma",FALSE,-0.125524451390539,9.239,1.32235726100973
"DAN","boma",FALSE,-0.0505019398788785,7.134,1.31650698369877
"EVR","boma",FALSE,0.136901850022258,9.0178,0.95229435202913
"FRPO1","boma",TRUE,0.116424497462803,7.8588,1.2401492466759
"FRPO2","boma",FALSE,0.0526340621303856,5.7114,1.22164173213931
"FVW","boma",TRUE,0.22310468266693,8.4498,1.11235220388378
"GLD","boma",TRUE,0.260485660089969,6.6472,1.1647332229726
"GRT","boma",FALSE,-0.353703246110572,9.06,1.56169388087279
"HAB","boma",FALSE,-0.0403730942803164,5.5346,1.41929761542258
"HAL","boma",TRUE,0.341805530505831,7.7172,1.18385153667687
"MTA","boma",FALSE,0.113916236346862,10.8,0.847669575212977
"MUS","boma",FALSE,-0.0630354892592794,7.52,1.41647494868637
"PKN","boma",FALSE,-0.186823821739709,10.7582,1.16773519305372
"SRN","boma",TRUE,0.203939139295617,7.8182,1.23703468462375
"STN","boma",TRUE,-0.131775023266879,11.2432,1.30245654000727
"STR","boma",FALSE,-0.318135052899936,8.5542,1.62726517764981
