"Site","City","Season","gentrifying","mean_19","mu","sd"
"ALIB","ahga","AP21",FALSE,0.146713538750464,3.5972,0.733897827086346
"ARPT","ahga","AP21",TRUE,-0.0320274181094335,5.0133,0.944358137164669
"BARN","ahga","AP21",FALSE,0.140099391637292,2.6932,0.795950446768749
"BBPK","ahga","AP21",FALSE,-0.0670329099801475,2.5444,0.721997761822575
"BHVN","ahga","AP21",FALSE,0.108974914463433,7.7238,0.820354105301978
"BZOO","ahga","AP21",FALSE,-0.0413160811420765,5.4958,0.67766384205466
"CSHS","ahga","AP21",FALSE,-0.0526566126351915,3.5526,0.72213945227972
"CVMD","ahga","AP21",FALSE,0.0466553328279015,2.5534,0.718888113695032
"DCKR","ahga","AP21",FALSE,-0.0377044997655705,5.3017,0.539727932039896
"DUDP","ahga","AP21",FALSE,0.177906689004387,3.6033,0.730467294440227
"DXBH","ahga","AP21",FALSE,0.0443140295231705,1.5671,0.723567512395699
"FIRE","ahga","AP21",FALSE,0.0641469485365485,7.3306,0.561368999424934
"HALP","ahga","AP21",FALSE,0.246996014190627,3.6801,0.763951799680597
"LDFN","ahga","AP21",FALSE,-0.220155684836913,3.5053,0.696290450917721
"LDFS","ahga","AP21",FALSE,-0.198294081906384,8.4111,0.628280402070893
"MBRD","ahga","AP21",FALSE,0.0882755736781065,6.5874,0.729530301938271
"NDA1","ahga","AP21",FALSE,-0.128888733027087,6.658,0.790758199358682
"NOWR","ahga","AP21",FALSE,0.0151362627139085,6.4534,0.651667788900686
"RDIO","ahga","AP21",FALSE,-0.183658740745526,5.5796,0.740080138810106
"RHDR","ahga","AP21",FALSE,-0.0273467436121645,1.6575,0.77888023176965
"SEPK","ahga","AP21",FALSE,-0.108586050133716,2.4281,0.638804506183004
"STPK","ahga","AP21",TRUE,0.0735695482232345,5.8519,0.86570279780847
"UGACF","ahga","AP21",FALSE,-0.217453546593665,8.6114,1.36783666338996
"UGDF","ahga","AP21",FALSE,-0.202552676433199,5.4651,0.664700062146275
"UGLH","ahga","AP21",TRUE,0.0268721549058715,8.6297,0.762257183371439
"UGRC","ahga","AP21",FALSE,-0.0151282343063675,2.4392,0.641673230276474
