"Site","City","Season","gentrifying","mean_19","mu","sd"
"ALIB","ahga","AP21",FALSE,0.146713538750464,3.6412,0.763492535710211
"ARPT","ahga","AP21",TRUE,-0.0320274181094335,5.1367,1.01317114130642
"BARN","ahga","AP21",FALSE,0.140099391637292,2.7314,0.822266168685795
"BBPK","ahga","AP21",FALSE,-0.0670329099801475,2.6378,0.774642606055665
"BHVN","ahga","AP21",FALSE,0.108974914463433,7.8071,0.876907342111277
"BZOO","ahga","AP21",FALSE,-0.0413160811420765,5.5913,0.73723718155434
"CSHS","ahga","AP21",FALSE,-0.0526566126351915,3.6626,0.784488866892468
"CVMD","ahga","AP21",FALSE,0.0466553328279015,2.6212,0.754299315090286
"DCKR","ahga","AP21",FALSE,-0.0377044997655705,5.4009,0.621786017682272
"DUDP","ahga","AP21",FALSE,0.177906689004387,3.6502,0.767267117686525
"DXBH","ahga","AP21",FALSE,0.0443140295231705,1.6225,0.762923295748347
"FIRE","ahga","AP21",FALSE,0.0641469485365485,7.3913,0.611409594436673
"HALP","ahga","AP21",FALSE,0.246996014190627,3.6999,0.791771861250466
"LDFN","ahga","AP21",FALSE,-0.220155684836913,3.6823,0.788941666345041
"LDFS","ahga","AP21",FALSE,-0.198294081906384,8.5756,0.724111230203876
"MBRD","ahga","AP21",FALSE,0.0882755736781065,6.6475,0.773500859959468
"NDA1","ahga","AP21",FALSE,-0.128888733027087,6.8199,0.868527157861166
"NOWR","ahga","AP21",FALSE,0.0151362627139085,6.5235,0.702066264467942
"RDIO","ahga","AP21",FALSE,-0.183658740745526,5.7419,0.832918822801201
"RHDR","ahga","AP21",FALSE,-0.0273467436121645,1.7486,0.826720258998571
"SEPK","ahga","AP21",FALSE,-0.108586050133716,2.5494,0.713589910982565
"STPK","ahga","AP21",TRUE,0.0735695482232345,5.933,0.926712943520251
"UGACF","ahga","AP21",FALSE,-0.217453546593665,8.8504,1.4224704503849
"UGDF","ahga","AP21",FALSE,-0.202552676433199,5.6293,0.761274893810636
"UGLH","ahga","AP21",TRUE,0.0268721549058715,8.7175,0.815696197139966
"UGRC","ahga","AP21",FALSE,-0.0151282343063675,2.5244,0.707710905294349
"WARN","ahga","AP21",TRUE,0.203520733163857,3.9548,0.93927907701516
"WSBS","ahga","AP21",FALSE,0.149620881608639,7.5229,0.693198126342128
"ALIB","ahga","JU21",FALSE,0.146713538750464,3.334,0.567165026792698
"ARPT","ahga","JU21",TRUE,-0.0320274181094335,1.9597,0.938383698918859
"BARN","ahga","JU21",FALSE,0.140099391637292,2.5171,0.683194163782554
"BBPK","ahga","JU21",FALSE,-0.0670329099801475,2.5024,0.684573665948677
"BHVN","ahga","JU21",FALSE,0.108974914463433,7.6661,0.751709582704433
"BZOO","ahga","JU21",FALSE,-0.0413160811420765,7.5708,0.717662081962248
"CSHS","ahga","JU21",FALSE,-0.0526566126351915,6.5472,0.722927674419955
"CVMD","ahga","JU21",FALSE,0.0466553328279015,5.4281,0.633301268788959
"DCKR","ahga","JU21",FALSE,-0.0377044997655705,5.3994,0.620417707527099
"DUDP","ahga","JU21",FALSE,0.177906689004387,1.5221,0.686992566101401
"DXBH","ahga","JU21",FALSE,0.0443140295231705,3.4761,0.674147044363277
"FIRE","ahga","JU21",FALSE,0.0641469485365485,2.6836,0.768342420413907
"HALP","ahga","JU21",FALSE,0.246996014190627,4.5501,0.703519355773809
"LDFN","ahga","JU21",FALSE,-0.220155684836913,6.5452,0.709089021720173
"LDFS","ahga","JU21",FALSE,-0.198294081906384,10.4921,0.672296651991387
"MBRD","ahga","JU21",FALSE,0.0882755736781065,5.493,0.678378227614927
"NDA1","ahga","JU21",FALSE,-0.128888733027087,2.5661,0.733542499423071
"NOWR","ahga","JU21",FALSE,0.0151362627139085,8.399,0.613544329013288
"RDIO","ahga","JU21",FALSE,-0.183658740745526,4.5154,0.688484016534954
"RHDR","ahga","JU21",FALSE,-0.0273467436121645,5.4894,0.682007443812266
"SEPK","ahga","JU21",FALSE,-0.108586050133716,3.4362,0.646816355034189
"STPK","ahga","JU21",TRUE,0.0735695482232345,7.6,0.763451560892099
"UGDF","ahga","JU21",FALSE,-0.202552676433199,7.5551,0.709376001448557
"UGLH","ahga","JU21",TRUE,0.0268721549058715,8.9298,0.895517814013502
"UGRC","ahga","JU21",FALSE,-0.0151282343063675,2.4087,0.628254550622626
"WARN","ahga","JU21",TRUE,0.203520733163857,5.8929,0.914938960439511
"WSBS","ahga","JU21",FALSE,0.149620881608639,7.4813,0.666254230358012
"ALIB","ahga","OC21",FALSE,0.146713538750464,3.7879,0.796101103941434
"ARPT","ahga","OC21",TRUE,-0.0320274181094335,4.0085,0.950851282702075
"BARN","ahga","OC21",FALSE,0.140099391637292,2.5838,0.725417247532964
"BBPK","ahga","OC21",FALSE,-0.0670329099801475,2.5517,0.719846461332407
"BHVN","ahga","OC21",FALSE,0.108974914463433,2.6842,0.783282652157774
"BZOO","ahga","OC21",FALSE,-0.0413160811420765,5.712,0.795562248934169
"CSHS","ahga","OC21",FALSE,-0.0526566126351915,6.4896,0.677449432631969
"CVMD","ahga","OC21",FALSE,0.0466553328279015,2.6706,0.784447050933058
"DCKR","ahga","OC21",FALSE,-0.0377044997655705,4.4337,0.638784090684365
"DUDP","ahga","OC21",FALSE,0.177906689004387,4.383,0.611840203683514
"DXBH","ahga","OC21",FALSE,0.0443140295231705,3.5639,0.728127603501404
"FIRE","ahga","OC21",FALSE,0.0641469485365485,5.5609,0.719404576225666
"LDFN","ahga","OC21",FALSE,-0.220155684836913,10.5854,0.72729618174001
"LDFS","ahga","OC21",FALSE,-0.198294081906384,7.717,0.80608683006098
"MBRD","ahga","OC21",FALSE,0.0882755736781065,7.3953,0.622476230603038
"NDA1","ahga","OC21",FALSE,-0.128888733027087,2.56,0.721284981961028
"NOWR","ahga","OC21",FALSE,0.0151362627139085,5.4883,0.678313438545995
"RDIO","ahga","OC21",FALSE,-0.183658740745526,5.7512,0.813366286780837
"RHDR","ahga","OC21",FALSE,-0.0273467436121645,5.537,0.708859117261542
"SEPK","ahga","OC21",FALSE,-0.108586050133716,6.5264,0.704239046960282
"STPK","ahga","OC21",TRUE,0.0735695482232345,4.6764,0.804827816853691
"UGDF","ahga","OC21",FALSE,-0.202552676433199,7.6336,0.765643298779593
"UGLH","ahga","OC21",TRUE,0.0268721549058715,3.0101,0.950625246264733
"UGRC","ahga","OC21",FALSE,-0.0151282343063675,2.5148,0.702161137507839
"WARN","ahga","OC21",TRUE,0.203520733163857,7.6104,0.760703429051491
"WSBS","ahga","OC21",FALSE,0.149620881608639,9.4562,0.64569594417592
"AB","baca","JU19",TRUE,0.250541323221692,2.8352,1.20631110359138
"BT","baca","JU19",FALSE,-0.44694851967188,4.7609,1.16132082415053
"CB","baca","JU19",FALSE,-0.206293291986469,3.5907,0.737853612036479
"CR","baca","JU19",FALSE,-0.164749591080401,4.7833,0.844519053214979
"DK","baca","JU19",FALSE,-0.0418368752316391,0.6738,0.789972129632786
"DY","baca","JU19",TRUE,-0.0644027868384981,4.1464,1.01018269976707
"EN","baca","JU19",FALSE,0.126845538744413,2.5795,0.711709493431347
"GT","baca","JU19",FALSE,-0.38487504528078,1.5993,1.15597280993704
"H18","baca","JU19",FALSE,-0.381229077066501,3.2233,1.01347906933612
"HBT","baca","JU19",FALSE,-0.449429869214362,2.597,1.13416032022073
"HT","baca","JU19",FALSE,-0.421143973424912,6.0083,0.919736756670167
"MA","baca","JU19",FALSE,0.266384420252625,4.6647,0.751352356112832
"MT","baca","JU19",FALSE,-0.413693975580284,4.1055,0.957006445189171
"PER","baca","JU19",FALSE,0.0342902484151569,4.39,0.60111241345805
"WP","baca","JU19",FALSE,-0.220360136420607,4.7547,0.822311090496143
"AB","baca","OC19",TRUE,0.250541323221692,3.8269,0.843923936596822
"BT","baca","OC19",FALSE,-0.44694851967188,4.5859,1.10622943567618
"CB","baca","OC19",FALSE,-0.206293291986469,3.5825,0.732152548814435
"CR","baca","OC19",FALSE,-0.164749591080401,4.4731,0.668222299915388
"DK","baca","OC19",FALSE,-0.0418368752316391,1.4118,0.617947364987172
"DY","baca","OC19",TRUE,-0.0644027868384981,3.3185,1.08681915127898
"EN","baca","OC19",FALSE,0.126845538744413,1.4778,0.64571576942606
"GT","baca","OC19",FALSE,-0.38487504528078,4.026,0.938089548604034
"H18","baca","OC19",FALSE,-0.381229077066501,2.9839,0.922673248009424
"HBT","baca","OC19",FALSE,-0.449429869214362,2.0456,0.941386881641173
"HT","baca","OC19",FALSE,-0.421143973424912,4.0085,0.931404585263646
"MA","baca","OC19",FALSE,0.266384420252625,3.3688,0.589424551685975
"MT","baca","OC19",FALSE,-0.413693975580284,3.796,0.82307456841681
"PER","baca","OC19",FALSE,0.0342902484151569,3.7631,0.721824419820572
"SFCA-001-GGP2","baca","OC19",FALSE,-0.0386106927019881,4.5456,0.70538670035641
"SFCA-C01-BVA1","baca","OC19",FALSE,0.255683205894402,2.5757,0.698081830320903
"SFCA-C01-GGP3","baca","OC19",FALSE,0.0406645109244479,3.5553,0.70893735211013
"SFCA-C01-GGP4","baca","OC19",FALSE,0.0558178722776279,4.0434,0.959691898920735
"SFCA-C01-PRE1","baca","OC19",FALSE,-0.289945696261742,1.769,0.83887387069636
"SFCA-C01-PRE2","baca","OC19",FALSE,-0.0581810163914761,4.5699,0.715237825142555
"SFCA-C01-USF1","baca","OC19",FALSE,0.269528715848673,1.6172,0.72216086271077
"SFCA-C02-DOU1","baca","OC19",FALSE,0.139386876701078,3.5519,0.693797178902124
"SFCA-C02-GLN1","baca","OC19",FALSE,0.103346782169429,3.527,0.690882574590782
"SFCA-C02-IGB1","baca","OC19",FALSE,0.0717003937675989,2.5715,0.707628309059479
"SFCA-C02-LGH1","baca","OC19",FALSE,0.0381817691257649,2.5712,0.715529005824235
"SFCA-C02-MTD1","baca","OC19",FALSE,0.0919178431734219,2.5524,0.69087044385834
"SFCA-C03-ALA1","baca","OC19",TRUE,0.303785132217073,2.8421,0.863042336277555
"SFCA-C03-BER1","baca","OC19",FALSE,0.325394324776759,2.5943,0.710040791639874
"SFCA-C03-BVH1","baca","OC19",TRUE,0.0907919760625849,3.8099,0.840138425057041
"SFCA-C03-JMP1","baca","OC19",TRUE,0.0540556946271979,2.8337,0.856923416516422
"SFCA-D01-PIO1","baca","OC19",TRUE,0.145086449054876,2.8574,0.868297549267189
"SFCA-D01-POT1","baca","OC19",FALSE,0.356810547036083,3.6195,0.716359593435246
"SFCA-D01-RUS1","baca","OC19",FALSE,0.295330766260436,0.6107,0.717911589058827
"SFCA-O01-GGP1","baca","OC19",FALSE,0.00416413778173685,1.5586,0.713874640045554
"SFCA-O01-LPK1","baca","OC19",FALSE,-0.0261172651398962,3.4838,0.671254510794398
"SFCA-O01-LPK2","baca","OC19",FALSE,-0.156018396956462,3.4903,0.680993601459311
"SFCA-O01-SUN1","baca","OC19",FALSE,0.107335089274044,1.5628,0.696781680636803
"SFCA-O02-BRO1","baca","OC19",FALSE,-0.207394162106327,2.6114,0.74956402303103
"SFCA-O02-LKM1","baca","OC19",FALSE,-0.0610399177599051,2.5393,0.707322797988341
"SFCA-O02-LKM2","baca","OC19",FALSE,-0.303751697035236,0.8179,0.861286114701229
"SFCA-O02-PLK1","baca","OC19",FALSE,0.183906997591601,3.5585,0.695144641500789
"SFCA-O02-WSN1","baca","OC19",TRUE,0.298893875470049,1.8566,0.856101472357744
